GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Name,State,County,Tract
1400000US06013312000,2491,48,12.2,6.5,11,6.5,5.9,16.2,9.2,13.7,3.1,2.5,6.2,4.7,2.2,28.7,30.7,35.9,0,8.1,0,18.7,6.5,Census Tract 3120; Contra Costa County; California,6,13,312000
1400000US06013313101,6719,47.1,6.3,5.7,7,8.5,8.6,12.2,14.6,12,5.1,3.3,9.9,4.8,2,37.2,39.7,16.4,0,16.7,0,21.6,5.7,"Census Tract 3131.01, Contra Costa County, California",6,13,313101
1400000US06013313102,3975,47.6,5.5,8,5.4,6.5,8.8,15.9,14.7,15.4,5.5,4.8,3.9,4.5,1.3,35,34,24.8,1.2,9.6,3.9,22.2,4.2,Census Tract 3131.02; Contra Costa County; California,6,13,313102
1400000US06013313103,7371,48,6.2,7.5,6.6,6.7,9.9,15.1,11.7,10,6.9,8.7,7.1,3.1,0.6,33.6,49.1,20.7,0.7,11.6,4.4,8.2,5.3,"Census Tract 3131.03, Contra Costa County, California",6,13,313103
1400000US06013313203,3266,54.1,13.7,5.2,5.4,8.4,9.3,13.5,10.4,17.2,6,4.5,4.7,1,0.6,30.6,43.3,8.3,0,10.3,0,34.3,3.7,Census Tract 3132.03; Contra Costa County; California,6,13,313203
1400000US06013313204,5438,48.9,7.6,10.6,8,6,7.2,17.5,12,17.5,5.3,2.1,3.5,1.4,1.2,31.1,52.6,12.3,0,7.1,4.3,20.2,3.5,Census Tract 3132.04; Contra Costa County; California,6,13,313204
1400000US06013313205,1884,41.2,10.9,5,10.5,6.6,3.1,16.3,19,11.7,6.4,8.9,1.2,0.4,0,34.1,49.1,4.5,0,18.8,0,27.7,0,Census Tract 3132.05; Contra Costa County; California,6,13,313205
1400000US06013313206,6527,51,7.9,9.1,10.7,7.1,11.1,15,13.3,9.2,5.3,5.1,3.7,1.5,0.8,27.1,49.9,14.2,0.4,8.2,0.7,22.3,4.4,Census Tract 3132.06; Contra Costa County; California,6,13,313206
1400000US06013314102,5830,47.1,9,6.7,9.4,8.6,8,14.3,15.5,13.1,5.9,2.9,4.9,1.3,0.4,30.5,49.5,13.9,0,11.4,0,21.7,3.5,Census Tract 3141.02; Contra Costa County; California,6,13,314102
1400000US06013314103,5528,48.6,10.7,10.6,9.6,7.6,9.4,14.7,13.3,11.1,5.4,2.9,3.7,1.1,0,26.3,38.4,22,2.7,13.4,3.7,18.7,1.1,Census Tract 3141.03; Contra Costa County; California,6,13,314103
1400000US06013314104,7425,51.4,9.1,9.1,7,10.1,6,17.2,15.2,12.1,5.8,2,4.4,1,0.9,30.3,48.3,12,0.2,6.9,1.4,22.8,8.4,"Census Tract 3141.04, Contra Costa County, California",6,13,314104
1400000US06013314200,6390,53.2,6.5,7.8,7.2,13,5.9,19.4,12.7,11.9,3.3,5.1,4,3,0.3,29.2,51.8,4.4,0.3,3.1,0,32.6,7.9,Census Tract 3142; Contra Costa County; California,6,13,314200
1400000US06013315000,3535,53,7.2,7,4.3,7.4,4.3,11.2,21.1,21,8.1,3.9,4.4,0.2,0,38.7,66.6,7.4,0,12,0,6.4,7.6,Census Tract 3150; Contra Costa County; California,6,13,315000
1400000US06013316000,2045,87.5,0,2,0,3.7,12.7,36.3,15.6,20.4,2.5,4.1,1.3,1.3,0,34,56.9,20.9,0,6.6,0,11.5,4.1,Census Tract 3160; Contra Costa County; California,6,13,316000
1400000US06013317000,1970,44.5,0,3.5,8.8,5.2,6,12.3,17,21.9,9.8,5.3,8.9,0.5,0.8,44,89.8,1.5,0.7,0.5,1.1,1.2,5.2,Census Tract 3170; Contra Costa County; California,6,13,317000
1400000US06013318000,3166,51.7,3.3,3.9,4.2,8.7,5.4,8.9,16.9,22.9,7.3,4.4,6.6,4.1,3.3,44.5,85.5,2.2,0,4.6,0,3.3,4.3,Census Tract 3180; Contra Costa County; California,6,13,318000
1400000US06013319000,7283,50.7,8.3,3.7,4.8,7.9,6.4,8.8,16.1,20.3,7.2,4.4,4.4,6,1.5,41.4,82.6,3.4,0.8,2.7,0.4,7,3.1,"Census Tract 3190, Contra Costa County, California",6,13,319000
1400000US06013320001,3520,52.1,7.6,6.7,4.6,6.5,11,19.2,8.8,17.6,4.1,4.5,3.2,3.8,2.4,32,73.2,5.1,0,7.8,4.8,7.7,1.4,Census Tract 3200.01; Contra Costa County; California,6,13,320001
1400000US06013320003,2590,46.5,7.1,7.1,8.2,6.2,6.2,9.7,11.7,22.4,10.3,2.9,5.7,1.3,1.2,40.6,74.6,4,0.6,11.4,0.7,0.4,8.2,Census Tract 3200.03; Contra Costa County; California,6,13,320003
1400000US06013320004,5861,46.7,6,4.4,8.4,5.6,5.1,14.3,16.7,16.8,10.8,3.7,4.2,3,1.1,39,74.3,4,0.9,11,0,6.2,3.5,Census Tract 3200.04; Contra Costa County; California,6,13,320004
1400000US06013321101,6167,50,3.8,4.2,4.9,8.5,3.2,9,12.9,16.8,8.4,9.3,10.4,6.5,2.2,46.7,84.3,1.8,0,8.9,0,0.5,4.6,Census Tract 3211.01; Contra Costa County; California,6,13,321101
1400000US06013321102,6654,45.8,4.7,6.1,6.3,7.3,3.6,9.4,12.1,17.3,9.5,8.1,8.8,4.6,2.3,45.3,80,0.7,0.4,11.5,0,2.6,4.8,Census Tract 3211.02; Contra Costa County; California,6,13,321102
1400000US06013321103,4825,46.1,5.6,4.4,9.4,5.7,3.3,10.3,12.7,18.6,7.5,8.8,6.1,5.7,2.1,44.1,77.1,4.9,0,9.8,0.2,3.9,4,Census Tract 3211.03; Contra Costa County; California,6,13,321103
1400000US06013321200,5415,51.3,4,2.9,4.9,11.2,11.2,18.4,13.8,16.9,5.3,4,4.6,2.9,0,33.3,59.2,2.3,0,28.7,0.3,2.9,6.6,Census Tract 3212; Contra Costa County; California,6,13,321200
1400000US06013322000,6181,52.4,4.4,5.4,4.2,5.6,4.7,12,16.7,21.5,3.3,6.1,8.2,5.5,2.4,42.4,78.2,5.1,0,8,0,3.7,4.9,Census Tract 3220; Contra Costa County; California,6,13,322000
1400000US06013323000,4250,46.8,5.5,7.5,7.9,7.6,2.4,9.7,17.1,16.2,7.2,6.2,7.2,4,1.6,40.8,75.7,0.7,0.3,8.1,0,5.1,10.2,Census Tract 3230; Contra Costa County; California,6,13,323000
1400000US06013324001,4431,45.9,7.7,3.3,3.1,3.8,4.4,25.8,15.4,11.2,2.8,6.3,6.3,3.5,6.3,36.3,76.3,1.5,0,13.7,0,3.8,4.7,"Census Tract 3240.01, Contra Costa County, California",6,13,324001
1400000US06013324002,5283,48,4.6,5.5,2.6,3.1,8.7,16.5,13.7,18.7,6.9,4.9,6.6,3.8,4.5,41.9,65.8,2,0,23.3,0.5,1.7,6.7,Census Tract 3240.02; Contra Costa County; California,6,13,324002
1400000US06013325000,5678,49,8.1,5.7,6.6,5.5,3.9,9.2,18.1,13.1,8.1,6.1,4.2,6.3,5,40.6,85.2,1.7,0.6,6.4,0.4,3,2.8,Census Tract 3250; Contra Costa County; California,6,13,325000
1400000US06013326000,3457,48,6.4,6.2,6.4,6.8,1.8,6.7,12.7,17.2,8.2,8.9,5.8,9.3,3.7,46.6,87.7,1.3,0,6.9,0,0,4.2,Census Tract 3260; Contra Costa County; California,6,13,326000
