Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Name,State,County,Tract
3964,50.9,9.3,11.3,11.9,11.8,4.8,17,15.8,10.2,3,1.3,1.9,1.6,0.1,25.4,55.4,0.1,0,0.7,0.3,42.4,1.2,1400000US06037534405,"Census Tract 5344.05, Los Angeles County, California",6,37,534405
5753,47.6,7.5,5.6,10.1,10.4,9,16.8,14.4,12.3,4.6,3.4,3.5,1.9,0.5,30.2,54.6,1.6,1.1,1.1,0,40.4,1.3,1400000US06037534501,"Census Tract 5345.01, Los Angeles County, California",6,37,534501
4002,52,8.9,7.6,8.1,9.1,6.1,13.9,14,13.7,4.9,3.7,4.6,3.6,1.7,32.8,59.2,0,0,0.2,0,39.3,1.4,1400000US06037534700,"Census Tract 5347, Los Angeles County, California",6,37,534700
3586,45.3,12.5,8.9,9.6,5.9,7.9,16.8,14.2,12.5,4,2.3,4.4,0.9,0,27.3,34.7,0,0,0,0.1,65.1,0,1400000US06037535501,"Census Tract 5355.01, Los Angeles County, California",6,37,535501
5219,50.9,10.7,7.7,5.4,9.6,11.1,15.8,17.6,9.5,5.6,2.6,2.9,1.4,0,27.3,44.1,0.9,0,1.8,0,51.7,1.5,1400000US06037535804,"Census Tract 5358.04, Los Angeles County, California",6,37,535804
7281,50.5,9.4,9.9,11.5,7.3,7.6,15.2,13.7,10.3,3.4,1.5,5.2,2.9,2,28.1,32.1,5.1,0,1,0,60,1.8,1400000US06037540202,"Census Tract 5402.02, Los Angeles County, California",6,37,540202
5661,50.1,8.2,6.9,9.8,12.9,12.9,9.3,18.3,9.8,2.5,4.6,2,2,0.9,24.7,39.8,3.7,1.7,0.9,0,48.5,5.3,1400000US06037540300,"Census Tract 5403, Los Angeles County, California",6,37,540300
8421,28.1,4.1,7.6,8.4,8.8,10.1,18.7,21.1,12.6,2.6,1.9,3.3,0.8,0.1,30.6,39.5,22.1,1,1.6,0.1,34.1,1.7,1400000US06037540501,"Census Tract 5405.01, Los Angeles County, California",6,37,540501
983,54.9,0,2.7,10.1,3.5,8,3.7,12.5,15.3,5.6,13.8,15.3,9.5,0.1,48.2,22.4,27.9,0,21,0,17.6,11.2,1400000US06037541001,"Census Tract 5410.01, Los Angeles County, California",6,37,541001
4108,44.1,12.8,9,10,10.5,9.2,12.5,13.8,10.2,3.2,2.8,4,0.7,1.3,24.5,26.9,34.9,1.7,0,0,35.6,0.9,1400000US06037542502,"Census Tract 5425.02, Los Angeles County, California",6,37,542502
2880,49.6,13.8,11.5,6.8,8.5,11.8,16.8,9.8,11.1,4.4,3.5,1,0.7,0.2,24.6,49.2,16.5,0,0,0,30.2,4,1400000US06037542601,"Census Tract 5426.01, Los Angeles County, California",6,37,542601
5687,49.6,8.2,7.8,10.3,11.9,11.4,11,14.8,14.2,2.5,2.8,3.8,0.9,0.2,25.3,37.4,34.4,0,0,0,25.4,2.8,1400000US06037542602,"Census Tract 5426.02, Los Angeles County, California",6,37,542602
7106,54,6.2,7.1,6.5,5.5,5.2,14.4,15.6,11,5.1,7.4,11.6,3.5,1,38.1,5.6,67.5,0,6.9,0,1.2,18.9,1400000US06037543322,"Census Tract 5433.22, Los Angeles County, California",6,37,543322
5096,50.4,4.8,2.6,3.6,4.2,5.7,12,16.7,16.2,7.8,5.2,6.8,11.4,2.8,45.3,32.5,6.2,0.9,35,2.5,15.5,7.4,1400000US06037543503,"Census Tract 5435.03, Los Angeles County, California",6,37,543503
1633,50.4,9.5,1.9,3.7,10.3,12.8,18.4,11.5,11.5,4.6,6.1,3.1,4.8,1.8,28.7,51.4,11.4,0.5,10.9,0,24.9,0.9,1400000US06037550400,"Census Tract 5504, Los Angeles County, California",6,37,550400
3668,52.1,8.4,5.5,13.5,12.5,9.2,10.8,14.7,11.5,3,3.7,4.9,2.1,0.1,26.4,28,3.5,2.6,10.1,0,55.5,0.4,1400000US06037554101,"Census Tract 5541.01, Los Angeles County, California",6,37,554101
5758,46.8,0.8,2.8,8.8,11.2,5.2,8.4,11.8,14.7,8.9,8.5,13.1,4.1,1.7,45.3,22.5,3.8,0.2,63.7,0,8.6,1.4,1400000US06037554512,"Census Tract 5545.12, Los Angeles County, California",6,37,554512
3071,51.4,6.4,7.2,7.3,8.2,7.3,13.2,11.7,17.3,4.2,5.9,7.9,2.4,0.9,35.9,15.7,9.8,1.6,59.4,0,6.9,6.7,1400000US06037554513,"Census Tract 5545.13, Los Angeles County, California",6,37,554513
3690,51.3,10.8,7.8,6.1,9.2,13.4,14.6,11.5,15,4,3.2,2.3,1.2,0.9,27.2,42.4,1,0,5.9,0,48.7,2,1400000US06037554801,"Census Tract 5548.01, Los Angeles County, California",6,37,554801
6342,49.6,4.3,4.6,6.6,7.4,6,12.3,14.3,13.3,8.2,7,8.7,4.1,3.2,41.1,35.3,6.2,1.5,45.4,0,6.8,4.7,1400000US06037554802,"Census Tract 5548.02, Los Angeles County, California",6,37,554802
2208,49.7,1.9,3.4,4.2,4.8,6.6,8.4,15.5,16.2,8.8,7.4,12.5,6.8,3.4,46.9,88.7,0,0.3,7.6,0,1.8,1.6,1400000US06037800504,"Census Tract 8005.04, Los Angeles County, California",6,37,800504
3039,45.9,3.5,7.1,4.7,6.1,0.8,9.3,12.7,20.5,7.8,6.3,8,8.8,4.6,49,90.5,1.6,0,3.5,0,1,3.4,1400000US06037800506,"Census Tract 8005.06, Los Angeles County, California",6,37,800506
6038,48.2,7.2,8.4,10.7,12.3,4.5,11.1,14.1,13.8,6.8,1.3,5.4,3.1,1.2,31.5,79.5,8.8,0,1.3,0.2,8.9,1.3,1400000US06037900103,"Census Tract 9001.03, Los Angeles County, California",6,37,900103
6111,50.3,2.9,5.9,13.1,13.4,5.2,11,13.5,17.3,4.2,4.5,4.8,3.7,0.5,32.7,67.4,10.5,0.2,0.3,0,17.4,4.2,1400000US06037900104,"Census Tract 9001.04, Los Angeles County, California",6,37,900104
1088,56.1,9.7,7.6,6.1,4.8,3.1,10.2,10.2,20.1,4,6.9,8,5.5,3.8,43.8,87.2,0,0,7.5,0,4.2,1,1400000US06037900201,"Census Tract 9002.01, Los Angeles County, California",6,37,900201
3981,45.7,4.2,12.5,12.7,7,4.5,11.5,16.3,14.1,6,5.5,3.9,1.7,0.1,33.7,49.8,29.3,0.7,3.5,0,12.8,3.9,1400000US06037900505,"Census Tract 9005.05, Los Angeles County, California",6,37,900505
4554,47,10.5,4.9,13.8,8.8,6.6,10.7,14.8,13.4,6.9,2.9,5.6,0.9,0.2,29.5,67.7,20.6,0,4.8,0,4.6,2.3,1400000US06037900506,"Census Tract 9005.06, Los Angeles County, California",6,37,900506
7336,48.5,8.3,7.9,14.6,10.9,8.5,11.4,10.8,13.9,2.8,4.2,4.1,2.3,0.3,24.9,55,28.3,2.1,5.2,0.8,4.8,3.8,1400000US06037900507,"Census Tract 9005.07, Los Angeles County, California",6,37,900507
3219,44.9,6.5,8,7.8,12.9,7.5,8.4,14,19.3,3.9,1.6,5,0.5,4.5,32.8,56.5,15.8,0,9,0,15.7,3.1,1400000US06037900508,"Census Tract 9005.08, Los Angeles County, California",6,37,900508
3364,51.2,6.8,8.4,7.4,7.5,10.7,13.3,9.9,16.5,7,1.5,7.8,2.3,0.9,31.9,69.7,22.6,2,0.4,0,2.4,2.9,1400000US06037900608,"Census Tract 9006.08, Los Angeles County, California",6,37,900608
2858,46.7,6.2,6.9,5.5,8.8,3,15.4,18.3,12.6,7.6,4.4,4.6,3.7,3,37.4,66.5,7.9,0,9.7,0,11.6,4.4,1400000US06037901008,"Census Tract 9010.08, Los Angeles County, California",6,37,901008
5354,50.7,8,13.5,12.6,6.3,5.1,19,11.1,14.1,2.3,4.5,2.4,1.1,0,26.5,60,20.5,0.3,2.3,0.5,13.7,2.7,1400000US06037900609,"Census Tract 9006.09, Los Angeles County, California",6,37,900609
5612,43.8,11.9,9.1,5.5,9.6,5.1,7,12.6,16.2,6.1,6.6,4.7,4.1,1.5,37.2,66.3,15.9,6.4,2.9,0.2,4,4.3,1400000US06037901009,"Census Tract 9010.09, Los Angeles County, California",6,37,901009
3119,53.8,5.2,7.5,6.5,5.6,2.5,13.5,10.9,18,5.7,5.6,9.8,7,2.2,43.5,81.4,0.9,8.3,2.2,0,6.5,0.7,1400000US06027000800,"Census Tract 8, Inyo County, California",6,27,800
9525,56.3,6,11.3,10.3,7.9,8.8,17.1,14.8,13.1,3.6,2,3.5,1.6,0.2,27.8,57.6,8.6,2.1,9.5,0.1,19.3,2.9,1400000US06029003205,"Census Tract 32.05, Kern County, California",6,29,3205
4257,100,0,0,0,0.9,14.8,42.8,24.6,10.5,3.3,2.5,0.5,0,0,32.3,49.6,26.1,0.4,1.8,0.7,19.3,2,1400000US06029004603,"Census Tract 46.03, Kern County, California",6,29,4603
11260,50.8,9.8,11.7,8.7,10.3,4.4,15.2,16.5,12.7,3.3,1.7,2.9,1.8,1,28,57.1,3.5,0.3,21.9,0.1,14.2,2.8,1400000US06029003206,"Census Tract 32.06, Kern County, California",6,29,3206
4407,49.8,10.2,6.1,6.1,8.2,2.8,13.8,8.6,17.1,9,9,5.7,3.2,0.2,40.2,87.9,0.4,1.3,0.9,0,7.2,2.4,1400000US06029003306,"Census Tract 33.06, Kern County, California",6,29,3306
3281,50.3,4.7,8.6,7.7,2.2,8.2,4.1,17.1,16.9,5.7,6.9,8.7,7,2.1,43.7,88.7,0,2.1,1.4,0,3.9,3.9,1400000US06029003305,"Census Tract 33.05, Kern County, California",6,29,3305
11853,51.5,9.6,8.8,10.1,10.5,10,15.3,13.2,12.2,3.5,2.5,2.6,1.4,0.3,25.7,72.5,0.9,0.3,10.5,0.6,12.1,3.3,1400000US06029004604,"Census Tract 46.04, Kern County, California",6,29,4604
9162,57.9,10.7,10.7,7.1,10.8,12,15.6,14.7,11.1,2.4,2.7,0.9,1.2,0,24.4,81.6,3.2,0.6,1.1,0,11.2,2.3,1400000US06029004701,"Census Tract 47.01, Kern County, California",6,29,4701
4215,59.5,11.9,6.9,8.3,8.1,12,15.9,14.1,5.2,4.3,5.1,5.9,2.4,0,25.6,83.6,1.3,0.7,0,0,10.6,3.8,1400000US06029004702,"Census Tract 47.02, Kern County, California",6,29,4702
3904,53.9,16.7,9.7,7.4,7.9,6.3,9.9,15.8,11.1,2.3,4,3.9,2.3,2.8,26.6,67.1,9.7,4.1,4.5,0,14.6,0,1400000US06029005003,"Census Tract 50.03, Kern County, California",6,29,5003
6804,48.7,7.9,8.8,12.4,8.1,6.9,13.2,16,11.8,5.1,1.8,3.6,3.2,1.2,30.2,56.6,0,1.2,15.8,0,23.2,3.2,1400000US06029005004,"Census Tract 50.04, Kern County, California",6,29,5004
5794,48.8,4.3,6.1,7.5,7.8,3,3.3,14.1,19.9,7,11.1,9.4,5.6,1,47.2,86,0.3,0,11.4,0.2,0.7,1.4,1400000US06059099308,"Census Tract 993.08, Orange County, California",6,59,99308
5234,47.4,6.6,1.8,5.9,7,13.7,21.4,16.8,11,6.5,2.7,3.3,3,0.3,31.2,67.9,1.1,1.5,10.2,1.5,12.7,5.1,1400000US06059099411,"Census Tract 994.11, Orange County, California",6,59,99411
8254,42.8,4.2,8.6,5.7,5.8,4.3,8.8,16.6,17.2,5.3,4.9,6.5,8.4,3.7,44,64.4,1.2,0,26.2,0,2.3,5.9,1400000US06059099413,"Census Tract 994.13, Orange County, California",6,59,99413
5576,50.3,2.3,5.4,6,8.1,6.4,5.3,11.6,21.2,7.2,10.9,11.5,2.7,1.4,47.5,83.7,0.1,0.1,11.1,0,2.1,2.8,1400000US06059099415,"Census Tract 994.15, Orange County, California",6,59,99415
4014,45.6,3.1,3.7,2.9,6.8,7.9,17.9,13.4,13.7,5.4,10.7,10.5,3.6,0.4,41.8,77.5,0,0.5,11.7,0,7.5,2.7,1400000US06059099417,"Census Tract 994.17, Orange County, California",6,59,99417
4214,47.3,4.1,7.7,1.8,3.6,6.4,13.3,14.2,16.4,6.5,5.7,10.4,6.5,3.4,44.7,81.7,1.8,0,9.9,0,4.4,2.2,1400000US06059099508,"Census Tract 995.08, Orange County, California",6,59,99508
3129,48.1,2.9,3.3,4.9,2.5,5.1,15.6,17.7,17.8,8.7,8.8,8.8,3.2,0.8,43.7,85.7,0.7,0,5.5,0,3.2,5,1400000US06059099511,"Census Tract 995.11, Orange County, California",6,59,99511
1764,46.4,1.9,6,3.3,5.9,1.6,3.4,12.9,9.8,7.9,6.4,24.2,15.7,1,57.8,93.6,0,0,3,0,2.5,0.9,1400000US06059062900,"Census Tract 629, Orange County, California",6,59,62900
6345,49.5,6.1,4.8,5.3,9.3,6.5,14.5,14.4,15,7.2,4.4,6.6,3.6,2.4,37.7,23.1,0.9,0.9,63.2,0,10.8,1.1,1400000US06059099203,"Census Tract 992.03, Orange County, California",6,59,99203
4020,45.1,6.8,5.5,5.8,5.1,6.5,19.7,13.3,16.3,5.4,3.8,7.8,3.6,0.3,35.5,81.6,0.6,0,11.4,0,0.8,5.5,1400000US06059099216,"Census Tract 992.16, Orange County, California",6,59,99216
3281,51.8,3.4,5.2,5.5,7.3,6.3,13.2,9.1,14.5,9,6.1,10.6,8,1.9,45,43.6,0.1,1.7,48.4,0,4.2,2,1400000US06059099225,"Census Tract 992.25, Orange County, California",6,59,99225
5778,51.4,6.2,7.3,7.6,5.7,8.4,21,13.2,11.7,7.4,4,4.8,1.9,1,30.7,77.9,3.8,2,4.6,0.4,7,4.4,1400000US06097153002,"Census Tract 1530.02, Sonoma County, California",6,97,153002
4861,48.9,3.7,7.9,6.3,6.4,6.4,7.3,14.2,13.1,10.2,8.8,7.8,6.5,1.4,43.8,95,0.1,0,1.9,0,1.6,1.4,1400000US06097152701,"Census Tract 1527.01, Sonoma County, California",6,97,152701
4981,47.6,7.3,2.1,4,2.8,4.2,10.7,10.7,16,10.2,12.1,8.6,5,6.3,51.4,84.2,1.3,1.4,1.3,0,3.5,8.3,1400000US06097150500,"Census Tract 1505, Sonoma County, California",6,97,150500
6819,43.9,6.7,5.1,4.8,6.5,5.6,15.8,11.4,14.2,7.9,5.9,9.7,4.2,2.2,40.5,84.5,1.6,0.4,4.3,0.1,7.9,1.1,1400000US06097151502,"Census Tract 1515.02, Sonoma County, California",6,97,151502
5086,44.9,7.9,7.3,4.8,3.7,9.1,11.8,9.5,12,9.7,5.6,6.9,7.9,3.8,41,87.8,0.1,0.2,1.9,0,5.4,4.6,1400000US06103000600,"Census Tract 6, Tehama County, California",6,103,600
8330,47.3,8.8,8,9.4,9,7.7,11.3,11.9,10.6,4.7,4.5,7.1,4.2,2.7,32,85.9,0.3,1.8,1.1,0,5.1,5.8,1400000US06103000700,"Census Tract 7, Tehama County, California",6,103,700
4553,54.4,6,5.1,5.4,3.4,4.4,12.3,15.2,17,8.9,4.4,10.2,6.3,1.4,43.9,46.1,11.9,0,32.1,2.4,1.8,5.7,1400000US06001427300,"Census Tract 4273, Alameda County, California",6,1,427300
4607,43.6,6.6,6.9,5.3,7.8,12,18,14.8,11.6,4.8,5.1,4.6,1.5,1.2,30.3,25.5,18.3,1.3,40.1,0.3,5.6,8.9,1400000US06001427600,"Census Tract 4276, Alameda County, California",6,1,427600
4544,51,4.4,3.7,2.6,3.4,3.9,18.9,17.6,15.2,9.7,6.6,10.2,3,0.7,41.7,70,0.7,0.2,18.9,0.7,1.8,7.7,1400000US06001427900,"Census Tract 4279, Alameda County, California",6,1,427900
6975,50.2,3.9,7.6,7,5.4,4.8,4.8,11.9,19.7,10.8,8.7,9.7,4.3,1.5,48,47.5,1.6,0,44.4,0,1,5.4,1400000US06001428302,"Census Tract 4283.02, Alameda County, California",6,1,428302
3090,45.8,4.4,3.6,5.1,3.6,8.1,13.2,13.3,14.7,7.8,3.8,9.1,8.2,5,44,43,6.2,0.1,42.3,0,3.9,4.5,1400000US06001428600,"Census Tract 4286, Alameda County, California",6,1,428600
5333,47.5,4.5,6.5,4.6,7.2,4.2,14.1,11.8,16.4,9.5,5.2,6.2,5.3,4.6,42.9,70.6,1.4,0,17.6,1.4,3.4,5.5,1400000US06001430800,"Census Tract 4308, Alameda County, California",6,1,430800
5569,51.5,5.4,6.1,5.9,6.1,7,14,16.8,14.3,7.1,3.9,7,4.5,2,37.6,39.9,11.9,0.3,35.8,2.8,5.4,3.9,1400000US06001433600,"Census Tract 4336, Alameda County, California",6,1,433600
3446,49.6,9.5,7.4,9.1,5.3,6.9,14.7,16.5,13,5.5,4.5,2.8,3.3,1.4,33.5,58.1,1.9,2.2,7.4,1.3,21.4,7.7,1400000US06001437400,"Census Tract 4374, Alameda County, California",6,1,437400
4433,49.7,4,7.7,7.6,8.1,6.1,14.4,14,14.1,4.5,5.1,8.1,5.1,1.1,37.3,38.2,9.1,0,22.4,7.6,13,9.7,1400000US06001438201,"Census Tract 4382.01, Alameda County, California",6,1,438201
5344,50.6,4.7,3.2,4.2,11.2,15.1,12.6,8,14.6,8.3,7.5,5.5,3.8,1.3,34.3,76.9,4.5,0,9.5,0.1,3.7,5.3,1400000US06055201700,"Census Tract 2017, Napa County, California",6,55,201700
2917,49.9,3.5,8.4,5.5,8.6,3.7,3.7,9.5,16.3,9.8,8.7,8.7,10.4,3.1,49.8,89.5,0,0,6.1,0.3,0,4,1400000US06055200703,"Census Tract 2007.03, Napa County, California",6,55,200703
5123,49.6,6.5,2.8,4.1,6.1,8.1,16.3,11.2,14.5,6.2,5.4,7.7,6.5,4.4,39.5,81.4,2.3,0,3.6,0,10.2,2.5,1400000US06055200802,"Census Tract 2008.02, Napa County, California",6,55,200802
3302,50.4,4.1,7.5,5.5,14.5,6.5,9.2,17.3,15.9,3.4,4.3,4.9,4.1,2.8,37.3,92.7,0.2,0,1.1,0.2,4,1.8,1400000US06055200201,"Census Tract 2002.01, Napa County, California",6,55,200201
1821,51.5,4.9,6.1,1.2,9.3,9.9,9.7,11.9,16.5,11.5,7.2,8.3,1,2.4,43.6,89.2,0,3.7,0.3,0,5,1.7,1400000US06055201800,"Census Tract 2018, Napa County, California",6,55,201800
1212,47.3,2.6,2.6,7,4,5.8,8.1,11.8,13,9.5,12.5,11.3,10.4,1.4,50.7,88.6,2.8,0,2.3,0,5.4,0.8,1400000US06055201900,"Census Tract 2019, Napa County, California",6,55,201900
5118,49.5,5.9,6.4,3.1,3.5,9.3,20.9,12.8,11.1,6.1,6.1,9.4,3.5,1.9,35.4,61.8,6.7,0.2,24.3,0,0.6,6.3,1400000US06001423000,"Census Tract 4230, Alameda County, California",6,1,423000
4506,52.3,6.6,3.5,5.7,3,4.1,22.7,12.8,15.4,8.2,6.8,6.1,3.3,1.6,38.5,65.2,4.3,0.2,16.6,0,3.2,10.5,1400000US06001428100,"Census Tract 4281, Alameda County, California",6,1,428100
4604,46.8,7.4,3.8,4.8,5,5.5,16.7,19.8,9.7,6.5,6.8,6,5.1,3.1,39.2,46,7.1,1.3,38.9,0.3,1,5.5,1400000US06001428400,"Census Tract 4284, Alameda County, California",6,1,428400
6556,49.7,4.8,2.2,6.2,10.3,5.7,7.3,9.1,22.5,10.3,6.1,5.3,7.1,3.1,47.1,75.3,1,0.2,16.5,0.8,0.8,5.3,1400000US06001430200,"Census Tract 4302, Alameda County, California",6,1,430200
3466,47.5,3.9,5.9,2.6,5.5,6.4,15.7,12,14.4,8.5,9.3,7.6,2.6,5.5,43.5,60.8,15.6,0.9,8.5,0,9.6,4.6,1400000US06001432200,"Census Tract 4322, Alameda County, California",6,1,432200
5905,49.8,8.7,6.1,7.8,8,6.2,18.6,11.5,13.3,7.4,3.7,5.2,2.8,0.5,31.4,39.6,18.4,0,27.4,1.8,8.4,4.3,1400000US06001432400,"Census Tract 4324, Alameda County, California",6,1,432400
7814,42.4,9,7.1,6.1,6.1,7.4,18,13.9,11.4,4,4.8,5.2,5.1,2,32.8,58.4,14,0,17.8,1.3,5.7,2.9,1400000US06001433800,"Census Tract 4338, Alameda County, California",6,1,433800
4968,45,9.1,9.5,8.5,9.2,7.7,12.9,18.6,11.5,2.1,2.7,2.9,3,2.4,30,50.6,19.5,0.2,11.8,0.2,13.8,3.9,1400000US06001434000,"Census Tract 4340, Alameda County, California",6,1,434000
4109,50.7,3,5.7,5,2.7,13,15.7,13.5,16.3,8,6.1,5.7,3.9,1.2,40.1,50.8,15.3,0,24.8,0.5,3.2,5.2,1400000US06001435102,"Census Tract 4351.02, Alameda County, California",6,1,435102
3310,47.2,9.8,5.3,4.1,5.2,7.9,15.2,12.6,12.2,5.7,6.1,8.4,5.8,1.7,37.2,41.4,6.7,0.8,25.5,2.7,15,7.8,1400000US06001435500,"Census Tract 4355, Alameda County, California",6,1,435500
2707,55.2,4.7,5.5,6.7,4.1,6.9,14.8,14.3,14.9,8.9,5.7,4,5.7,4,39.7,53,3.6,1.2,16.9,0,17.6,7.7,1400000US06001438000,"Census Tract 4380, Alameda County, California",6,1,438000
4106,48.8,3.1,3.6,3.8,4.5,7.1,14,11.4,12.3,11.4,10.1,10.6,4.5,3.5,45.8,31.7,3.8,0.5,52.8,0.4,7.2,3.6,1400000US06001440307,"Census Tract 4403.07, Alameda County, California",6,1,440307
6390,49.3,4.9,6.9,5.7,4.6,3.3,16.4,17.1,12.8,9.2,6.3,8.2,3.2,1.3,39.2,36.3,2.3,0,53.2,1.1,4.6,2.5,1400000US06001441401,"Census Tract 4414.01, Alameda County, California",6,1,441401
4403,49.7,0.5,8.8,3.5,7.4,3,14.5,10.6,16.6,6.2,4.1,14,8.7,2,45.7,93.9,0.6,0,0,0,3.7,1.8,1400000US06065045117,"Census Tract 451.17, Riverside County, California",6,65,45117
4767,45.4,10,4.4,9.7,7.4,5.2,14.2,11.8,13.8,3.9,4.8,8,4,2.7,34.5,68.6,1.8,0,2.6,0,22.4,4.6,1400000US06065045120,"Census Tract 451.20, Riverside County, California",6,65,45120
2417,51.1,7.4,7.7,1.4,2.7,9.3,13.8,6,11.1,5.5,4.3,17.3,11,2.4,45.6,78.7,0,0,5.1,0,14,2.3,1400000US06065045118,"Census Tract 451.18, Riverside County, California",6,65,45118
3084,53.6,5.9,5.2,7.6,8.2,9.2,8.1,9.8,19.2,6.3,7.1,6.1,6.8,0.4,41.3,88.5,1,0,0.7,0,6.4,3.4,1400000US06065045119,"Census Tract 451.19, Riverside County, California",6,65,45119
3692,46.3,0.8,4.4,4.6,4.3,2.5,2.8,9,8,8,17.7,24.1,8.8,5.1,62.1,92.6,0,2.1,4,0,0,1.3,1400000US06079010403,"Census Tract 104.03, San Luis Obispo County, California",6,79,10403
2537,44.8,5.1,8,3.7,3.1,1,6.9,8.6,10.8,9.2,11.6,17.4,10.3,4.3,55.7,90.5,0.1,0,0.7,0,8.3,0.4,1400000US06079010404,"Census Tract 104.04, San Luis Obispo County, California",6,79,10404
2822,50.9,5.1,6.4,0,0.6,4,4.4,12,16.4,11.1,15.1,10.5,9.4,4.9,55.6,97.5,0,0.2,0.5,0,0.1,1.6,1400000US06079010504,"Census Tract 105.04, San Luis Obispo County, California",6,79,10504
3931,50.6,1.3,3.5,1.2,2.8,5.5,12.8,13.9,11.4,8.3,11.1,13.4,11.3,3.4,53.6,96.3,0,0.7,0.5,0,2.2,0.4,1400000US06079010602,"Census Tract 106.02, San Luis Obispo County, California",6,79,10602
1384,48.8,6.4,4.8,4.4,3.6,1.3,9.2,6.1,8.2,16.8,7.7,12,8.2,11.1,55.7,89.4,0.5,0.5,6.6,0,3,0,1400000US06079010603,"Census Tract 106.03, San Luis Obispo County, California",6,79,10603
6038,46,6.7,2.4,2.6,6.4,3.9,11.9,6.9,14.7,12.7,6.4,10.6,8.6,6.3,51.7,88.9,1,0.7,2.5,0,3.5,3.4,1400000US06079010707,"Census Tract 107.07, San Luis Obispo County, California",6,79,10707
5122,51.9,4.8,4.1,5.2,5.1,15.5,11.8,10.5,14.6,6.1,2,6.4,7.7,6.2,40.4,82.3,2.3,1,5.3,0,4.4,4.8,1400000US06079011001,"Census Tract 110.01, San Luis Obispo County, California",6,79,11001
3976,55.8,4.7,4.1,7.1,10.1,5,11.6,12.4,16.2,7.6,7.3,6.6,6.6,0.5,41.8,82.6,0.4,4.9,1.1,0.2,8.7,2.2,1400000US06103000800,"Census Tract 8, Tehama County, California",6,103,800
3613,52,4.8,4.9,3.7,9.9,3,13.8,10.8,20.1,5.6,5,10.4,5.3,2.7,44.3,86.6,0,0.7,0,0.7,7.7,4.2,1400000US06103000900,"Census Tract 9, Tehama County, California",6,103,900
4555,50.2,5.9,5.2,6.5,6.1,3.1,12.8,9.5,20.1,7.1,5.2,11.9,4.7,1.8,45.8,83.5,4.5,1.7,1.5,0.1,4.1,4.6,1400000US06103000100,"Census Tract 1, Tehama County, California",6,103,100
4634,55.5,5.8,6.1,6,4.8,4.9,13.6,11.3,13.4,8,4.3,14.7,5.4,1.6,42.9,86,0.4,2,0.5,0,4.7,6.3,1400000US06103000300,"Census Tract 3, Tehama County, California",6,103,300
7727,49,5.1,7.3,9.6,5.4,4.2,10.7,11.6,14.2,8.2,7.2,10.5,5.3,0.6,42.3,90.2,0.2,3,0.9,0.1,2.2,3.3,1400000US06103000200,"Census Tract 2, Tehama County, California",6,103,200
5295,51.7,5.5,3.1,7.3,6.1,2.4,6.7,13.9,16.5,12.7,8,11.4,4.9,1.5,47.5,89.4,0,1.1,3.4,0.1,2,4.1,1400000US06103000400,"Census Tract 4, Tehama County, California",6,103,400
7049,49.6,8.6,7.3,8.3,9.7,6.3,13.1,10.7,13.8,5.7,2.9,8.1,3.7,1.8,31.1,82.4,0.1,3.1,0.7,0.2,10.9,2.6,1400000US06103001100,"Census Tract 11, Tehama County, California",6,103,1100
5677,45.6,8.1,7.4,6.1,6.4,11,11.2,11.5,13.2,6.3,5.2,6.3,5.9,1.4,34.8,89.7,0.4,3,0.5,0,3.9,2.4,1400000US06103000500,"Census Tract 5, Tehama County, California",6,103,500
7043,50.2,7.9,7.2,8.6,10.7,3.9,8.9,16.2,13.6,5.4,5,8.1,3.4,1.2,36.5,73.6,1.4,2.9,1.6,0,16.5,4,1400000US06103001000,"Census Tract 10, Tehama County, California",6,103,1000
2099,50.4,7.1,5.7,8.6,8,5.6,10.5,8.8,12.9,9.8,8,6.3,8.1,0.7,41.6,88.3,0.9,1.6,0.5,0,6,2.7,1400000US06025010200,"Census Tract 102, Imperial County, California",6,25,10200
6630,52.5,14.2,7.9,7.5,11,14.1,10.2,10.5,12,3.4,1.5,5.2,2.4,0.1,23.2,77.2,6.8,0.2,0,0,12.1,3.7,1400000US06025010400,"Census Tract 104, Imperial County, California",6,25,10400
4624,46.3,3.5,5.1,5.9,5.9,11.7,12,11.3,12.4,7.8,5.2,8.8,8.8,1.6,43.2,38.6,30.6,0,21.6,1.2,5.9,2.1,1400000US06067004006,"Census Tract 40.06, Sacramento County, California",6,67,4006
4642,43.3,9.3,2.3,2.3,3,7.4,23.5,10.2,12.6,5.9,5.1,7.1,8.4,2.9,37.2,48.4,14,0.2,24.2,1,4.5,7.7,1400000US06067004010,"Census Tract 40.10, Sacramento County, California",6,67,4010
3260,45.6,2.7,4.8,3.1,8.3,8.9,11.9,11.3,22.6,8.4,5.3,5.4,4.9,2.4,44.5,42.1,13.8,0,34.3,3,2.8,4,1400000US06067004011,"Census Tract 40.11, Sacramento County, California",6,67,4011
6267,47.1,11.8,6.7,7.3,9.9,7.4,14.6,9.9,13.1,8.1,4,4.8,2.3,0.2,28.8,25.7,25.9,0.5,37.8,1.5,3.8,4.8,1400000US06067004903,"Census Tract 49.03, Sacramento County, California",6,67,4903
