Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Name,State,County,Tract
1996,68.7,3.0,2.0,4.3,2.7,15.2,27.1,13.5,11.9,5.5,5.8,3.2,4.2,1.9,33.5,51.7,10.4,0.8,8.3,1.2,20.8,6.9,1400000US06081610202,"Census Tract 6102.02, San Mateo County, California",6,81,610202
7142,51.1,8.2,8.1,4.8,4.2,1.9,17.2,21.8,17.4,5.2,3.6,4.8,2.1,0.5,38.7,55.9,0.3,0.7,37.9,0.0,0.6,4.7,1400000US06081610303,"Census Tract 6103.03, San Mateo County, California",6,81,610303
4874,49.0,10.8,11.2,7.0,6.9,4.4,19.2,10.4,14.5,2.7,2.8,5.5,3.6,0.9,29.9,75.8,5.6,1.6,0.2,0.0,9.4,7.5,1400000US06107002904,"Census Tract 29.04, Tulare County, California",6,107,2904
5652,53.2,5.5,7.6,2.5,6.9,6.0,13.4,8.5,19.9,6.8,5.7,9.6,5.4,2.1,43.9,69.6,1.1,2.9,11.0,0.0,10.7,4.7,1400000US06065044911,"Census Tract 449.11, Riverside County, California",6,65,44911
3865,50.2,4.6,5.2,8.8,10.9,5.1,11.6,16.5,13.2,7.6,5.2,5.9,4.5,0.8,38.2,81.2,1.7,1.3,1.4,0.0,11.5,2.9,1400000US06065045109,"Census Tract 451.09, Riverside County, California",6,65,45109
5857,52.7,11.5,11.7,5.3,8.3,7.7,21.8,12.4,10.8,4.4,1.5,2.2,2.0,0.5,27.1,46.4,4.0,0.8,0.3,0.0,45.4,3.1,1400000US06065045501,"Census Tract 455.01, Riverside County, California",6,65,45501
5369,55.5,9.6,10.7,13.4,11.3,7.4,15.2,12.4,10.0,3.3,2.1,3.5,0.9,0.3,24.3,64.9,0.8,0.0,0.8,0.2,32.9,0.4,1400000US06065045703,"Census Tract 457.03, Riverside County, California",6,65,45703
119,47.1,0.0,0.0,0.0,0.0,0.0,2.5,0.0,27.7,19.3,16.8,3.4,18.5,11.8,62.0,73.9,0.0,16.8,0.0,0.0,0.0,9.2,1400000US06065940100,"Census Tract 9401, Riverside County, California",6,65,940100
4971,49.2,12.7,6.1,9.9,7.9,8.5,19.4,12.7,10.5,4.2,3.4,3.1,1.2,0.4,27.4,65.8,1.4,1.7,4.6,5.5,17.7,3.4,1400000US06065041004,"Census Tract 410.04, Riverside County, California",6,65,41004
5822,50.8,4.5,7.6,9.7,7.1,3.9,5.3,17.6,18.0,5.8,8.0,4.5,5.8,2.2,42.4,78.4,2.0,0.4,11.6,0.0,1.0,6.6,1400000US06085506801,"Census Tract 5068.01, Santa Clara County, California",6,85,506801
2937,47.1,9.4,7.9,6.2,5.5,2.1,8.7,10.9,17.6,7.8,7.4,9.2,5.2,2.1,44.4,85.1,3.5,0.0,6.9,0.0,1.1,3.5,1400000US06085507002,"Census Tract 5070.02, Santa Clara County, California",6,85,507002
5813,50.0,2.2,7.1,9.2,8.2,2.8,5.0,13.8,20.5,8.4,5.1,8.2,6.6,2.9,45.5,42.5,0.0,0.3,53.8,0.0,0.7,2.8,1400000US06085507500,"Census Tract 5075, Santa Clara County, California",6,85,507500
4039,48.3,2.5,0.5,1.3,1.6,19.6,29.1,14.8,11.4,3.6,2.9,9.2,2.1,1.6,32.5,90.9,1.0,0.0,6.5,0.0,1.0,0.6,1400000US06073007701,"Census Tract 77.01, San Diego County, California",6,73,7701
3775,47.0,2.3,1.0,0.7,2.0,13.1,46.2,15.4,7.9,1.8,2.3,5.2,1.0,1.1,29.7,90.0,2.3,0.0,4.6,0.0,0.8,2.3,1400000US06073007702,"Census Tract 77.02, San Diego County, California",6,73,7702
2713,54.4,1.4,0.3,0.0,3.5,24.0,43.2,13.5,4.8,1.7,3.2,3.1,0.4,1.0,28.8,88.3,1.2,0.5,4.2,0.0,4.7,1.1,1400000US06073007907,"Census Tract 79.07, San Diego County, California",6,73,7907
1873,49.4,4.1,4.2,3.2,4.0,9.7,11.7,9.1,24.4,6.5,2.8,9.6,7.7,3.1,46.3,91.9,0.0,0.0,1.9,0.0,0.0,6.1,1400000US06073000201,"Census Tract 2.01, San Diego County, California",6,73,201
2409,62.1,0.0,1.1,0.5,0.0,36.8,31.9,9.7,7.1,1.8,5.0,2.3,3.2,0.5,28.4,92.9,3.5,1.7,0.8,0.0,0.6,0.5,1400000US06073007905,"Census Tract 79.05, San Diego County, California",6,73,7905
3117,51.4,16.1,7.2,6.5,6.4,7.2,18.2,15.1,8.0,4.8,3.8,4.5,1.6,0.5,29.0,29.2,22.3,0.0,21.3,0.0,21.2,6.0,1400000US06073002711,"Census Tract 27.11, San Diego County, California",6,73,2711
3314,47.0,13.6,9.3,5.2,12.1,9.9,15.1,8.5,5.3,4.3,8.5,5.3,0.8,2.1,25.0,63.4,16.2,0.0,9.9,0.8,7.8,2.0,1400000US06073003304,"Census Tract 33.04, San Diego County, California",6,73,3304
2548,63.6,2.1,1.3,0.0,0.7,21.0,47.8,12.0,7.5,1.4,1.5,3.9,0.5,0.4,28.7,92.7,0.0,0.6,1.6,0.9,1.6,2.7,1400000US06073007908,"Census Tract 79.08, San Diego County, California",6,73,7908
2950,58.0,2.4,0.6,1.2,2.3,20.7,36.7,17.3,8.9,3.1,0.9,4.0,0.7,1.1,29.3,89.7,2.0,0.0,2.4,0.0,0.4,5.5,1400000US06073007910,"Census Tract 79.10, San Diego County, California",6,73,7910
4519,55.1,3.0,3.6,4.2,2.8,33.1,28.8,12.8,6.2,0.5,1.7,1.3,1.1,0.8,26.1,56.0,2.2,0.0,32.3,0.0,6.7,2.8,1400000US06073008363,"Census Tract 83.63, San Diego County, California",6,73,8363
5256,47.8,3.7,3.3,3.2,2.1,21.2,27.0,12.6,9.9,5.0,4.9,3.0,2.0,2.2,31.1,62.5,1.7,0.0,31.5,0.3,2.3,1.6,1400000US06073008364,"Census Tract 83.64, San Diego County, California",6,73,8364
3045,52.2,4.1,1.9,0.8,2.1,5.0,39.3,13.7,11.1,7.5,4.3,5.4,2.4,2.7,33.9,88.2,4.8,0.0,2.0,0.7,1.0,3.3,1400000US06073008003,"Census Tract 80.03, San Diego County, California",6,73,8003
3569,45.1,1.2,4.3,2.5,3.4,10.5,29.1,15.4,9.0,5.4,4.6,7.6,5.2,1.8,33.9,90.9,1.0,0.0,1.1,0.0,5.3,1.7,1400000US06073008006,"Census Tract 80.06, San Diego County, California",6,73,8006
2890,52.6,1.3,0.0,2.2,9.4,42.9,13.7,6.0,11.7,3.4,3.0,3.9,2.2,0.3,23.0,56.9,2.3,0.0,30.1,0.0,10.7,0.0,1400000US06073008361,"Census Tract 83.61, San Diego County, California",6,73,8361
3308,49.4,8.6,0.6,1.0,1.5,19.8,22.2,14.1,6.3,5.1,9.5,7.5,3.4,0.5,33.0,74.0,0.4,0.0,21.0,0.0,1.2,3.4,1400000US06073008362,"Census Tract 83.62, San Diego County, California",6,73,8362
2960,50.0,6.6,3.5,8.3,9.1,6.1,8.0,12.7,29.2,2.6,5.6,5.6,2.6,0.0,41.4,59.5,0.0,0.0,35.8,0.0,0.8,3.9,1400000US06073008365,"Census Tract 83.65, San Diego County, California",6,73,8365
5891,50.2,7.2,6.9,10.7,7.0,5.1,8.4,15.8,20.3,7.1,4.0,3.2,3.4,0.9,39.5,54.3,2.9,0.0,37.8,0.0,1.0,4.1,1400000US06073008366,"Census Tract 83.66, San Diego County, California",6,73,8366
4323,51.1,2.1,2.3,2.3,6.3,17.8,20.0,16.2,12.5,8.0,0.6,6.7,3.9,1.2,34.3,70.3,0.2,0.1,13.3,2.0,5.4,8.6,1400000US06073009305,"Census Tract 93.05, San Diego County, California",6,73,9305
5771,48.7,6.8,4.7,6.8,6.2,7.2,22.2,13.4,15.7,6.5,2.3,2.3,4.9,1.0,32.7,55.6,7.9,0.0,19.2,1.2,9.3,6.8,1400000US06073009306,"Census Tract 93.06, San Diego County, California",6,73,9306
5088,51.2,14.5,20.5,10.7,7.2,6.7,24.7,12.7,2.0,0.7,0.2,0.1,0.0,0.0,17.5,68.1,16.1,0.3,1.3,0.5,3.5,10.2,1400000US06073009510,"Census Tract 95.10, San Diego County, California",6,73,9510
4459,47.9,16.9,17.9,13.2,5.0,4.5,28.3,12.5,0.5,0.3,1.0,0.0,0.0,0.0,16.4,69.4,12.3,0.0,7.6,1.2,2.0,7.4,1400000US06073009511,"Census Tract 95.11, San Diego County, California",6,73,9511
4965,48.3,3.9,8.9,9.2,12.8,9.0,11.3,14.0,14.0,4.7,3.4,4.6,4.0,0.3,31.9,37.8,0.2,2.5,11.6,0.0,46.1,1.8,1400000US06037405101,"Census Tract 4051.01, Los Angeles County, California",6,37,405101
5064,44.5,3.9,7.9,5.1,9.3,7.0,12.6,11.8,16.1,5.9,4.5,6.8,6.3,2.8,39.6,45.5,1.5,0.7,15.3,0.0,33.4,3.5,1400000US06037405600,"Census Tract 4056, Los Angeles County, California",6,37,405600
4323,46.7,6.9,7.9,9.0,10.1,6.4,9.4,18.5,14.9,3.7,4.1,5.6,2.2,1.3,35.5,48.3,3.1,0.0,7.8,0.0,34.4,6.4,1400000US06037405900,"Census Tract 4059, Los Angeles County, California",6,37,405900
5436,49.5,8.3,5.2,4.9,11.0,10.1,10.4,12.1,15.7,6.0,4.3,6.2,4.6,1.2,35.2,58.1,3.8,0.8,9.5,0.0,18.6,9.1,1400000US06037406000,"Census Tract 4060, Los Angeles County, California",6,37,406000
2269,53.4,8.0,6.3,3.8,9.6,11.1,15.6,13.4,13.7,6.4,1.7,3.1,5.2,2.1,30.3,42.2,0.0,0.0,8.7,0.0,48.9,0.3,1400000US06037406411,"Census Tract 4064.11, Los Angeles County, California",6,37,406411
2576,43.6,8.3,8.0,11.5,6.9,3.0,9.9,14.6,13.6,6.2,4.0,8.0,4.3,1.8,37.6,47.7,3.1,0.0,12.7,1.5,32.4,2.7,1400000US06037406412,"Census Tract 4064.12, Los Angeles County, California",6,37,406412
1784,46.6,2.0,5.5,5.3,11.1,8.2,7.0,18.5,17.6,4.8,5.4,7.4,5.8,1.3,42.6,22.3,11.5,0.7,29.3,0.0,29.4,6.8,1400000US06037407400,"Census Tract 4074, Los Angeles County, California",6,37,407400
3989,51.6,8.0,9.9,4.0,7.9,8.2,14.8,12.7,14.5,3.5,4.9,5.4,4.1,2.2,33.9,48.5,1.1,0.3,13.5,0.0,34.4,2.2,1400000US06037408302,"Census Tract 4083.02, Los Angeles County, California",6,37,408302
6405,45.5,3.9,4.6,6.7,5.9,7.6,9.4,12.8,14.8,9.7,5.9,10.0,7.2,1.5,44.3,47.4,0.9,0.4,45.4,0.0,4.0,2.0,1400000US06037408503,"Census Tract 4085.03, Los Angeles County, California",6,37,408503
3838,48.4,4.2,5.9,8.3,4.8,8.1,14.4,13.1,15.5,8.3,5.0,8.5,2.6,1.4,38.5,41.4,0.5,0.3,49.1,0.5,7.4,0.8,1400000US06037408624,"Census Tract 4086.24, Los Angeles County, California",6,37,408624
4839,48.2,4.6,5.2,7.7,5.7,5.4,12.4,15.2,16.7,7.4,6.0,7.6,3.8,2.3,40.4,31.6,0.0,0.0,54.2,0.0,9.9,4.3,1400000US06037480012,"Census Tract 4800.12, Los Angeles County, California",6,37,480012
5674,46.5,5.7,3.5,4.5,8.6,5.1,12.6,16.1,19.5,5.8,4.7,7.4,3.1,3.3,40.8,81.5,7.3,0.0,7.2,0.0,2.3,1.6,1400000US06037462500,"Census Tract 4625, Los Angeles County, California",6,37,462500
2439,43.3,7.5,6.4,2.9,2.9,2.5,10.1,17.3,15.1,8.9,12.5,6.4,3.9,3.6,45.1,75.2,7.2,0.0,11.7,0.0,3.9,2.1,1400000US06037462600,"Census Tract 4626, Los Angeles County, California",6,37,462600
5541,43.3,3.5,7.1,9.3,10.0,2.5,12.2,15.1,17.6,7.1,4.3,7.1,3.2,1.1,38.1,61.5,1.5,0.5,27.0,0.0,5.4,4.0,1400000US06037480500,"Census Tract 4805, Los Angeles County, California",6,37,480500
4145,51.2,4.6,5.0,7.3,0.7,5.5,19.2,14.8,17.1,7.1,3.4,4.8,6.2,4.3,38.6,31.4,2.4,0.0,47.9,0.0,15.0,3.3,1400000US06037481101,"Census Tract 4811.01, Los Angeles County, California",6,37,481101
5923,47.4,3.0,4.6,6.7,7.5,5.0,10.6,17.5,21.8,6.8,4.7,7.4,4.2,0.3,43.3,17.2,0.0,0.9,77.5,0.6,2.8,1.0,1400000US06037481401,"Census Tract 4814.01, Los Angeles County, California",6,37,481401
3673,47.2,6.0,4.0,3.8,5.6,6.7,18.2,15.4,12.4,5.9,6.1,9.8,3.0,3.1,40.0,36.5,2.0,0.2,47.4,0.0,12.9,1.0,1400000US06037481902,"Census Tract 4819.02, Los Angeles County, California",6,37,481902
4358,51.7,10.6,7.5,3.4,7.1,12.0,19.5,13.9,9.5,3.1,3.4,5.8,2.5,1.8,28.0,29.9,0.2,0.0,15.7,0.0,53.7,0.5,1400000US06037208401,"Census Tract 2084.01, Los Angeles County, California",6,37,208401
2972,58.3,2.7,5.8,6.8,10.8,11.8,14.9,15.8,16.7,2.6,4.7,5.1,1.3,0.8,31.0,43.5,4.6,0.7,22.8,0.0,27.3,1.1,1400000US06037208402,"Census Tract 2084.02, Los Angeles County, California",6,37,208402
3199,50.6,7.6,3.5,6.0,5.4,12.7,20.0,8.2,16.8,4.3,7.6,4.0,1.9,2.0,31.7,28.4,0.3,0.0,52.4,0.0,16.7,2.2,1400000US06037208501,"Census Tract 2085.01, Los Angeles County, California",6,37,208501
4037,48.1,7.7,8.7,12.4,6.5,6.3,13.3,21.3,11.8,3.2,2.2,2.7,3.2,0.6,32.3,38.4,5.4,0.8,14.4,0.0,39.7,1.4,1400000US06037208502,"Census Tract 2085.02, Los Angeles County, California",6,37,208502
3058,55.1,7.4,4.0,3.1,5.0,11.2,25.6,13.0,8.7,5.9,3.0,3.3,6.3,3.4,31.6,23.6,7.4,1.5,25.0,0.0,41.6,0.9,1400000US06037208801,"Census Tract 2088.01, Los Angeles County, California",6,37,208801
2361,81.7,0.0,0.0,0.0,0.4,5.7,14.2,24.3,29.4,14.7,7.0,4.3,0.0,0.0,47.6,47.3,29.6,1.8,6.1,0.0,8.6,6.6,1400000US06071012300,"Census Tract 123, San Bernardino County, California",6,71,12300
3860,50.8,8.5,10.8,13.6,10.4,7.8,15.4,12.7,10.0,3.3,2.6,2.9,1.8,0.3,24.5,40.9,3.5,2.1,7.5,0.0,45.8,0.1,1400000US06071012400,"Census Tract 124, San Bernardino County, California",6,71,12400
4317,49.4,11.5,6.2,12.3,14.5,8.8,10.9,10.6,12.7,4.2,0.8,4.8,1.7,1.0,23.3,47.4,2.7,7.3,0.0,1.8,39.1,1.8,1400000US06071012500,"Census Tract 125, San Bernardino County, California",6,71,12500
4539,45.0,8.7,11.1,10.7,5.2,6.6,19.8,13.9,10.6,6.4,3.3,2.5,0.7,0.6,28.7,58.5,4.1,0.0,4.9,0.0,25.6,6.9,1400000US06071012700,"Census Tract 127, San Bernardino County, California",6,71,12700
9785,56.5,21.2,8.2,4.9,5.3,21.0,27.2,9.8,1.9,0.0,0.1,0.1,0.3,0.0,22.4,69.4,10.2,0.6,7.1,2.6,4.4,5.7,1400000US06071025000,"Census Tract 250, San Bernardino County, California",6,71,25000
1009,48.3,7.7,1.8,5.3,5.6,5.9,5.2,11.0,9.4,9.7,7.7,12.3,15.8,2.6,50.8,55.1,2.2,33.2,1.2,0.6,6.4,1.3,1400000US06071025100,"Census Tract 251, San Bernardino County, California",6,71,25100
0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,1400000US06071980100,"Census Tract 9801, San Bernardino County, California",6,71,980100
4135,95.3,0.0,0.0,0.0,0.0,6.7,36.5,34.8,13.2,4.4,2.7,0.7,1.0,0.0,36.7,56.0,24.1,3.3,2.2,1.2,9.9,3.3,1400000US06071980200,"Census Tract 9802, San Bernardino County, California",6,71,980200
4357,50.8,3.6,4.5,0.6,2.9,2.8,25.1,18.0,15.5,7.2,4.8,9.7,2.6,2.8,41.2,95.4,0.9,0.0,2.4,0.0,0.2,1.1,1400000US06073000202,"Census Tract 2.02, San Diego County, California",6,73,202
4576,50.8,6.5,7.2,6.7,7.9,4.5,16.3,12.2,10.7,6.4,3.7,9.7,5.6,2.6,35.7,43.7,29.0,0.3,14.8,0.0,8.8,3.3,1400000US06073002712,"Census Tract 27.12, San Diego County, California",6,73,2712
5722,51.0,10.9,9.2,9.7,10.7,9.9,11.2,12.1,13.9,3.4,2.3,4.7,1.6,0.4,24.9,34.3,36.2,0.0,10.3,4.2,14.2,0.8,1400000US06073003305,"Census Tract 33.05, San Diego County, California",6,73,3305
4811,49.9,5.8,6.0,6.9,6.0,2.2,12.9,11.9,13.9,7.5,6.6,10.8,6.3,3.1,43.7,60.4,0.3,0.6,33.8,0.0,2.1,2.9,1400000US06085510801,"Census Tract 5108.01, Santa Clara County, California",6,85,510801
