Name,GEO_ID,"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 or more",Median (dollars),State,County,Tract
"Census Tract 5041.01, Los Angeles County, California",1400000US06037504101,2.7,2.2,8.6,81.4,5.1,0,0,407400,6,37,504101
"Census Tract 5300.05, Los Angeles County, California",1400000US06037530005,1.4,2.1,3.5,32.9,50.1,10.1,0,550800,6,37,530005
"Census Tract 5302.04, Los Angeles County, California",1400000US06037530204,0,0,9.9,90.1,0,0,0,404100,6,37,530204
"Census Tract 5334.02, Los Angeles County, California",1400000US06037533402,4,0,21.9,74.1,0,0,0,347600,6,37,533402
"Census Tract 5316.03, Los Angeles County, California",1400000US06037531603,0,0,17.5,81.3,1.2,0,0,361700,6,37,531603
"Census Tract 5320.02, Los Angeles County, California",1400000US06037532002,0,4.6,4.6,80,10.8,0,0,394600,6,37,532002
"Census Tract 5321.01, Los Angeles County, California",1400000US06037532101,0,0,13.1,62.5,24.4,0,0,412900,6,37,532101
"Census Tract 118.01, San Diego County, California",1400000US06073011801,0,0,33.6,37.4,20.4,3.8,4.7,383700,6,73,11801
"Census Tract 122, San Diego County, California",1400000US06073012200,3.2,0,29.8,58.6,8.4,0,0,352000,6,73,12200
"Census Tract 123.02, San Diego County, California",1400000US06073012302,0,0,63.2,15.8,8.8,12.3,0,284400,6,73,12302
"Census Tract 128, San Diego County, California",1400000US06073012800,0,0,18.2,71.3,10.5,0,0,394700,6,73,12800
"Census Tract 131.04, San Diego County, California",1400000US06073013104,4.5,0,32.3,59.2,4,0,0,353000,6,73,13104
"Census Tract 134.09, San Diego County, California",1400000US06073013409,1.5,0,2.8,59.9,34.3,1.5,0,463300,6,73,13409
"Census Tract 140.01, San Diego County, California",1400000US06073014001,2.6,0,16.7,63.7,16,0,1.1,411100,6,73,14001
"Census Tract 144, San Diego County, California",1400000US06073014400,0,0,48.9,51.1,0,0,0,312500,6,73,14400
"Census Tract 145, San Diego County, California",1400000US06073014500,0,0,4.6,74.8,20.6,0,0,436600,6,73,14500
"Census Tract 150, San Diego County, California",1400000US06073015000,6.2,0,0,70.3,18.7,2.5,2.3,432500,6,73,15000
"Census Tract 100.03, San Diego County, California",1400000US06073010003,1,0,35.7,52.1,11.2,0,0,343400,6,73,10003
"Census Tract 95.04, San Diego County, California",1400000US06073009504,0.9,1.2,1.2,0,6.7,38.6,51.4,1013300,6,73,9504
"Census Tract 98.01, San Diego County, California",1400000US06073009801,1.5,1.8,13.3,33.5,47.1,1.1,1.8,500000,6,73,9801
"Census Tract 98.05, San Diego County, California",1400000US06073009805,1.1,0.8,14.7,18.7,61.5,3.2,0,559800,6,73,9805
"Census Tract 100.11, San Diego County, California",1400000US06073010011,1.8,1.6,32.4,58.1,6.1,0,0,332300,6,73,10011
"Census Tract 100.14, San Diego County, California",1400000US06073010014,0,0,3.1,66.1,30.8,0,0,455100,6,73,10014
"Census Tract 5765.01, Los Angeles County, California",1400000US06037576501,0,0,63.3,32.3,4.4,0,0,261100,6,37,576501
"Census Tract 5765.02, Los Angeles County, California",1400000US06037576502,0,0,47.6,47.6,4.8,0,0,306000,6,37,576502
"Census Tract 5765.03, Los Angeles County, California",1400000US06037576503,0,1.7,14.7,52.9,22.7,8,0,430300,6,37,576503
"Census Tract 5769.01, Los Angeles County, California",1400000US06037576901,8.1,0,2.7,49.7,27.5,12.1,0,440400,6,37,576901
"Census Tract 5773, Los Angeles County, California",1400000US06037577300,3,3.6,0,4.5,21.7,39.9,27.3,857600,6,37,577300
"Census Tract 6001, Los Angeles County, California",1400000US06037600100,8.7,0,28.4,56.9,0,6,0,335800,6,37,600100
"Census Tract 6003.02, Los Angeles County, California",1400000US06037600302,0,0,19.6,66.1,12.1,2.2,0,352900,6,37,600302
"Census Tract 6007.03, Los Angeles County, California",1400000US06037600703,3.5,0,26,61.1,9.4,0,0,348700,6,37,600703
"Census Tract 6008.02, Los Angeles County, California",1400000US06037600802,3.6,0,0,61.8,34.5,0,0,456800,6,37,600802
"Census Tract 2971.10, Los Angeles County, California",1400000US06037297110,0,0,17.6,73.6,3.8,0,5,399000,6,37,297110
"Census Tract 3103, Los Angeles County, California",1400000US06037310300,0,0,0,3.3,30,54.1,12.6,826800,6,37,310300
"Census Tract 4002.06, Los Angeles County, California",1400000US06037400206,0,0.5,1.4,8.7,57.9,26,5.5,670200,6,37,400206
"Census Tract 4019.02, Los Angeles County, California",1400000US06037401902,0,0,2.8,15.3,50.1,23.8,8,659000,6,37,401902
"Census Tract 4035, Los Angeles County, California",1400000US06037403500,0,0,0,13.8,11.4,31.7,43.1,945400,6,37,403500
"Census Tract 5550.02, Los Angeles County, California",1400000US06037555002,5,0,13.8,69.4,8.6,1.3,1.9,390500,6,37,555002
"Census Tract 5723.01, Los Angeles County, California",1400000US06037572301,0,0,49.3,44.8,6,0,0,302500,6,37,572301
"Census Tract 5751.02, Los Angeles County, California",1400000US06037575102,0,0,25.3,64.4,10.3,0,0,365500,6,37,575102
"Census Tract 6009.11, Los Angeles County, California",1400000US06037600911,0,3.3,24.4,46.3,21.6,0,4.3,410800,6,37,600911
"Census Tract 6036, Los Angeles County, California",1400000US06037603600,0,1.9,6.9,72.7,12.9,4,1.5,416300,6,37,603600
"Census Tract 6210.02, Los Angeles County, California",1400000US06037621002,3,0,0,0,0,2,95,2000001,6,37,621002
"Census Tract 7004, Los Angeles County, California",1400000US06037700400,0,0,4.4,20.7,20.4,17.9,36.5,812000,6,37,700400
"Census Tract 7025.01, Los Angeles County, California",1400000US06037702501,2.1,1.7,4.3,11.4,11.7,19.6,49.2,989900,6,37,702501
"Census Tract 9007.05, Los Angeles County, California",1400000US06037900705,4.1,4.4,54.4,37.1,0,0,0,250000,6,37,900705
"Census Tract 4631.02, Los Angeles County, California",1400000US06037463102,0,0,0,8.1,33.3,11.8,46.8,931600,6,37,463102
"Census Tract 4824.02, Los Angeles County, California",1400000US06037482402,6.7,1.5,2.3,64.2,16.3,6.1,3,430400,6,37,482402
"Census Tract 5334.01, Los Angeles County, California",1400000US06037533401,0,0,9.6,88.4,2,0,0,375700,6,37,533401
"Census Tract 5343.01, Los Angeles County, California",1400000US06037534301,0,8.3,33.3,40.5,17.9,0,0,387500,6,37,534301
"Census Tract 5420, Los Angeles County, California",1400000US06037542000,3.2,0,31.5,57.4,7.9,0,0,330500,6,37,542000
"Census Tract 2612, Los Angeles County, California",1400000US06037261200,1.4,0,0.9,4.3,8.4,15.3,69.7,1218100,6,37,261200
"Census Tract 2291, Los Angeles County, California",1400000US06037229100,0,0,52.7,38.3,9,0,0,292200,6,37,229100
"Census Tract 2711, Los Angeles County, California",1400000US06037271100,2,0,0.7,0,18.8,39.6,38.9,930100,6,37,271100
"Census Tract 2753.11, Los Angeles County, California",1400000US06037275311,1.4,0,1.6,4.9,17,38.8,36.2,911400,6,37,275311
"Census Tract 4821.02, Los Angeles County, California",1400000US06037482102,0,0,0.8,20.9,58.6,17.8,1.9,620500,6,37,482102
"Census Tract 4641, Los Angeles County, California",1400000US06037464100,0,0,1.1,1.6,9.3,3.6,84.4,1651600,6,37,464100
"Census Tract 4814.02, Los Angeles County, California",1400000US06037481402,3.8,0,0,21.2,63.7,6.5,4.8,598300,6,37,481402
"Census Tract 4828, Los Angeles County, California",1400000US06037482800,1.8,0,0,38.3,49.6,10.3,0,549800,6,37,482800
"Census Tract 5032.01, Los Angeles County, California",1400000US06037503201,2.6,0,15.5,51.5,30.4,0,0,431300,6,37,503201
"Census Tract 6510.01, Los Angeles County, California",1400000US06037651001,4.1,2.5,0,6.5,57.1,23.5,6.4,661700,6,37,651001
"Census Tract 6704.11, Los Angeles County, California",1400000US06037670411,0,0,0,4.7,7.4,36,51.9,1015000,6,37,670411
"Census Tract 7010, Los Angeles County, California",1400000US06037701000,0,0,1.4,2.1,10.8,2.2,83.6,1687500,6,37,701000
"Census Tract 7029.01, Los Angeles County, California",1400000US06037702901,0,0,29.8,42.9,14.3,0,13.1,447200,6,37,702901
"Census Tract 1999, Los Angeles County, California",1400000US06037199900,0,0,2.7,50.9,46.4,0,0,489700,6,37,199900
"Census Tract 2011.20, Los Angeles County, California",1400000US06037201120,0,0,16.7,44.3,37.3,0,1.8,466200,6,37,201120
"Census Tract 449.21, Riverside County, California",1400000US06065044921,0,2.3,6.2,21.1,33.1,28.1,9.1,653500,6,65,44921
"Census Tract 449.22, Riverside County, California",1400000US06065044922,4.4,0,18,61.9,15.7,0,0,377500,6,65,44922
"Census Tract 449.23, Riverside County, California",1400000US06065044923,3.5,0,66.7,28.7,0,0,1.1,273400,6,65,44923
"Census Tract 449.24, Riverside County, California",1400000US06065044924,0,0.6,64.5,34.9,0,0,0,253400,6,65,44924
"Census Tract 449.25, Riverside County, California",1400000US06065044925,4.3,3.9,66.4,21.5,2.6,0,1.4,251500,6,65,44925
"Census Tract 449.26, Riverside County, California",1400000US06065044926,0,8.1,88.8,3.1,0,0,0,188400,6,65,44926
"Census Tract 449.27, Riverside County, California",1400000US06065044927,2.3,0,34.9,30.5,12.9,9.6,9.8,405700,6,65,44927
"Census Tract 449.28, Riverside County, California",1400000US06065044928,2.8,1.5,37.6,34.9,7.5,5.1,10.7,339400,6,65,44928
"Census Tract 449.29, Riverside County, California",1400000US06065044929,4.2,0,15.5,56.9,16.4,0,7,408400,6,65,44929
"Census Tract 101.02, Imperial County, California",1400000US06025010102,8.7,34.7,48.8,2.9,4.9,0,0,130400,6,25,10102
"Census Tract 120.01, Imperial County, California",1400000US06025012001,0,21.1,78.9,0,0,0,0,171400,6,25,12001
"Census Tract 120.02, Imperial County, California",1400000US06025012002,0,0,84.8,14.3,1,0,0,225700,6,25,12002
"Census Tract 9400, Imperial County, California",1400000US06025940000,9.7,45.2,32.3,12.9,0,0,0,-666666666,6,25,940000
"Census Tract 8, Inyo County, California",1400000US06027000800,3.9,13.2,63,14,5.9,0,0,213400,6,27,800
"Census Tract 32.05, Kern County, California",1400000US06029003205,1,0,82.5,16.2,0,0,0.2,216200,6,29,3205
"Census Tract 32.06, Kern County, California",1400000US06029003206,0,0,82.6,17.4,0,0,0,254100,6,29,3206
"Census Tract 33.05, Kern County, California",1400000US06029003305,11.2,11.2,75.1,0,2.6,0,0,159600,6,29,3305
"Census Tract 33.06, Kern County, California",1400000US06029003306,2,3.8,61.8,16.2,16.2,0,0,250500,6,29,3306
"Census Tract 46.03, Kern County, California",1400000US06029004603,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,6,29,4603
"Census Tract 46.04, Kern County, California",1400000US06029004604,1.3,9.7,79.7,8.3,0,0,1,181000,6,29,4604
"Census Tract 47.01, Kern County, California",1400000US06029004701,0,5.3,94.7,0,0,0,0,162100,6,29,4701
"Census Tract 47.02, Kern County, California",1400000US06029004702,3.9,31,62.8,0,0,2.3,0,109700,6,29,4702
"Census Tract 50.03, Kern County, California",1400000US06029005003,0,16,79.4,2.1,2.5,0,0,151500,6,29,5003
"Census Tract 50.04, Kern County, California",1400000US06029005004,2.3,1.3,84.2,12.3,0,0,0,211700,6,29,5004
"Census Tract 52.03, Kern County, California",1400000US06029005203,0,25.8,61.1,10.9,2.1,0,0,120900,6,29,5203
"Census Tract 52.04, Kern County, California",1400000US06029005204,5.7,20.5,65.3,0,8,0,0.5,123500,6,29,5204
"Census Tract 55.07, Kern County, California",1400000US06029005507,4.2,43.2,52.7,0,0,0,0,102500,6,29,5507
"Census Tract 55.08, Kern County, California",1400000US06029005508,6,45.1,42.8,2.5,0,1.9,1.7,98300,6,29,5508
"Census Tract 58.01, Kern County, California",1400000US06029005801,2.5,12.5,74.3,9.7,0,0,1,184500,6,29,5801
"Census Tract 58.02, Kern County, California",1400000US06029005802,15,15.8,67.2,2.1,0,0,0,134800,6,29,5802
"Census Tract 60.06, Kern County, California",1400000US06029006006,0.6,3,49.2,35.7,6.3,5.2,0,288700,6,29,6006
"Census Tract 60.07, Kern County, California",1400000US06029006007,1.9,0,53.1,25.4,11.9,0,7.7,286600,6,29,6007
"Census Tract 60.08, Kern County, California",1400000US06029006008,3.7,0,51.9,35.3,8.4,0.8,0,285700,6,29,6008
"Census Tract 4287, Alameda County, California",1400000US06001428700,0,0,1.5,4.9,7.9,49.1,36.6,931900,6,1,428700
"Census Tract 4301.01, Alameda County, California",1400000US06001430101,2.4,1.3,0.5,5.5,35.1,43,12.1,779800,6,1,430101
"Census Tract 4301.02, Alameda County, California",1400000US06001430102,2.2,0,2.9,7.7,35.6,34.7,16.8,761200,6,1,430102
"Census Tract 4325.01, Alameda County, California",1400000US06001432501,3.1,0,12.4,59.8,24.7,0,0,419100,6,1,432501
"Census Tract 4325.02, Alameda County, California",1400000US06001432502,1.2,0,21.6,44.8,29.1,3.3,0,407500,6,1,432502
"Census Tract 4331.03, Alameda County, California",1400000US06001433103,0,0,36.6,32.8,30.7,0,0,351300,6,1,433103
"Census Tract 4331.04, Alameda County, California",1400000US06001433104,10,2.8,11,37.7,38.4,0,0,424400,6,1,433104
"Census Tract 4351.03, Alameda County, California",1400000US06001435103,0.8,1.3,2.5,3.6,32.8,34.1,24.9,815700,6,1,435103
"Census Tract 4351.04, Alameda County, California",1400000US06001435104,0,4.7,11.7,24.1,42.4,1.9,15.2,556200,6,1,435104
"Census Tract 4356.01, Alameda County, California",1400000US06001435601,0,2.6,43.4,37.9,6.5,9.6,0,319900,6,1,435601
"Census Tract 4356.02, Alameda County, California",1400000US06001435602,2.1,0,33.6,44.3,17.9,2.1,0,357500,6,1,435602
"Census Tract 5.02, Fresno County, California",1400000US06019000502,0,34,66,0,0,0,0,125000,6,19,502
"Census Tract 9.01, Fresno County, California",1400000US06019000901,0,40.3,44.5,0,11.4,3.8,0,116500,6,19,901
"Census Tract 9.02, Fresno County, California",1400000US06019000902,16.7,36.9,33.3,7.1,0,0,6,97800,6,19,902
"Census Tract 13.03, Fresno County, California",1400000US06019001303,11,50.9,38,0,0,0,0,90300,6,19,1303
"Census Tract 13.04, Fresno County, California",1400000US06019001304,6.5,38.2,34.6,0,14.6,4.5,1.6,-666666666,6,19,1304
"Census Tract 14.07, Fresno County, California",1400000US06019001407,0,43.1,51,5.9,0,0,0,105800,6,19,1407
"Census Tract 14.08, Fresno County, California",1400000US06019001408,11.6,4,84.3,0,0,0,0,230300,6,19,1408
"Census Tract 14.09, Fresno County, California",1400000US06019001409,1.4,1.1,45.7,33.5,18.3,0,0,311600,6,19,1409
"Census Tract 14.10, Fresno County, California",1400000US06019001410,8.7,2.5,80.6,7,1.2,0,0,190600,6,19,1410
"Census Tract 14.11, Fresno County, California",1400000US06019001411,1,2.6,93.2,2.3,0,1,0,231300,6,19,1411
"Census Tract 14.12, Fresno County, California",1400000US06019001412,4.3,1.7,70,16.7,3.4,0.9,3,205000,6,19,1412
"Census Tract 14.13, Fresno County, California",1400000US06019001413,0.7,0,84.8,13.2,0,1.3,0,244500,6,19,1413
"Census Tract 14.14, Fresno County, California",1400000US06019001414,0,0,73.9,26.1,0,0,0,262100,6,19,1414
"Census Tract 29.03, Fresno County, California",1400000US06019002903,0,7.7,88.7,3.6,0,0,0,123700,6,19,2903
"Census Tract 29.04, Fresno County, California",1400000US06019002904,0,15.8,74.4,6.6,0,0,3.2,165000,6,19,2904
"Census Tract 29.05, Fresno County, California",1400000US06019002905,3.5,25,57,14.5,0,0,0,137500,6,19,2905
"Census Tract 29.06, Fresno County, California",1400000US06019002906,2,17.1,69.9,8.6,0,2.4,0,145100,6,19,2906
"Census Tract 30.03, Fresno County, California",1400000US06019003003,0,0,97.4,2.6,0,0,0,146600,6,19,3003
"Census Tract 30.04, Fresno County, California",1400000US06019003004,3.5,0,93,3.5,0,0,0,171600,6,19,3004
"Census Tract 31.03, Fresno County, California",1400000US06019003103,0.9,3.5,93.1,2.6,0,0,0,166500,6,19,3103
"Census Tract 31.04, Fresno County, California",1400000US06019003104,5,13.7,77.9,3.4,0,0,0,171600,6,19,3104
"Census Tract 33.01, Fresno County, California",1400000US06019003301,3.4,26.8,60.6,9.2,0,0,0,131500,6,19,3301
"Census Tract 33.02, Fresno County, California",1400000US06019003302,0,23.8,74.1,2.1,0,0,0,115500,6,19,3302
"Census Tract 37.01, Fresno County, California",1400000US06019003701,3.1,18.9,74,0,0,0,4.1,162800,6,19,3701
"Census Tract 37.02, Fresno County, California",1400000US06019003702,8.7,10,81.3,0,0,0,0,155200,6,19,3702
"Census Tract 38.07, Fresno County, California",1400000US06019003807,6,3.4,76.6,6.8,0,7.2,0,163300,6,19,3807
"Census Tract 38.08, Fresno County, California",1400000US06019003808,0,7.3,82.7,8.8,0,0,1.3,182400,6,19,3808
"Census Tract 38.09, Fresno County, California",1400000US06019003809,1.3,5.7,84.6,3.7,0,0.7,4,184500,6,19,3809
"Census Tract 38.10, Fresno County, California",1400000US06019003810,5,1.7,84.9,6,0,0,2.4,194200,6,19,3810
"Census Tract 40.01, Fresno County, California",1400000US06019004001,0,3.2,85.1,9.8,0.6,1.3,0,232600,6,19,4001
"Census Tract 40.02, Fresno County, California",1400000US06019004002,2.9,4.2,79.2,11.6,2.1,0,0,181800,6,19,4002
"Census Tract 42.13, Fresno County, California",1400000US06019004213,0,0,79.9,20.1,0,0,0,227600,6,19,4213
"Census Tract 42.14, Fresno County, California",1400000US06019004214,0.7,0,57.1,39,0,0.8,2.5,287100,6,19,4214
"Census Tract 42.15, Fresno County, California",1400000US06019004215,0,0.6,86.5,10.9,1.4,0,0.6,226500,6,19,4215
"Census Tract 42.16, Fresno County, California",1400000US06019004216,2.3,2.1,69,20.4,6.2,0,0,260200,6,19,4216
"Census Tract 1913.02, Los Angeles County, California",1400000US06037191302,0,0,0,34.5,65.5,0,0,559200,6,37,191302
"Census Tract 1919.01, Los Angeles County, California",1400000US06037191901,0,0,0,35.1,21.6,43.3,0,672600,6,37,191901
"Census Tract 1919.02, Los Angeles County, California",1400000US06037191902,2.7,0,2.3,17.1,7.4,15.2,55.3,1099200,6,37,191902
"Census Tract 1920.01, Los Angeles County, California",1400000US06037192001,0,0,0,0,30.4,30.9,38.7,908700,6,37,192001
"Census Tract 1920.02, Los Angeles County, California",1400000US06037192002,0,0,1.7,3.3,18.7,29.8,46.4,969900,6,37,192002
"Census Tract 1941.01, Los Angeles County, California",1400000US06037194101,0,0,2.8,0,15.4,3.8,78,1766400,6,37,194101
"Census Tract 1941.02, Los Angeles County, California",1400000US06037194102,1,1.6,0,4.7,11.2,14.2,67.2,1579000,6,37,194102
"Census Tract 1944.01, Los Angeles County, California",1400000US06037194401,3.8,0,0,0,0,12.8,83.3,1206300,6,37,194401
"Census Tract 1944.02, Los Angeles County, California",1400000US06037194402,0,0,0,12.2,12.8,37.6,37.4,916200,6,37,194402
"Census Tract 219, San Diego County, California",1400000US06073021900,0,0,74.3,0,25.7,0,0,221900,6,73,21900
"Census Tract 220, San Diego County, California",1400000US06073022000,0,4.1,29.4,41.3,25.2,0,0,363200,6,73,22000
"Census Tract 221, San Diego County, California",1400000US06073022100,0.6,1.1,1,5.5,37.6,40.3,13.9,775800,6,73,22100
"Census Tract 9901, San Diego County, California",1400000US06073990100,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,6,73,990100
"Census Tract 87.03, Sacramento County, California",1400000US06067008703,3.9,0,5.2,66.5,22.6,1.7,0,417000,6,67,8703
"Census Tract 87.04, Sacramento County, California",1400000US06067008704,2.2,0,18.9,78.9,0,0,0,354700,6,67,8704
"Census Tract 87.05, Sacramento County, California",1400000US06067008705,0.4,0,16.4,81.3,1.9,0,0,375000,6,67,8705
"Census Tract 88.01, Sacramento County, California",1400000US06067008801,1.2,0,43.1,52.6,1.9,1.1,0,313800,6,67,8801
"Census Tract 90.10, Sacramento County, California",1400000US06067009010,0,0,56.1,43.9,0,0,0,289400,6,67,9010
"Census Tract 90.11, Sacramento County, California",1400000US06067009011,2.8,0,15.2,72.1,10,0,0,365900,6,67,9011
"Census Tract 3012.06, Los Angeles County, California",1400000US06037301206,1.9,0,16.6,8.7,48.6,24.2,0,617300,6,37,301206
"Census Tract 3018.01, Los Angeles County, California",1400000US06037301801,2.7,0,16,44.9,33.1,3.4,0,455600,6,37,301801
"Census Tract 3018.02, Los Angeles County, California",1400000US06037301802,19.3,0,2.7,40.4,37.7,0,0,441500,6,37,301802
"Census Tract 3020.03, Los Angeles County, California",1400000US06037302003,0,0,9.4,90.6,0,0,0,354900,6,37,302003
"Census Tract 3020.04, Los Angeles County, California",1400000US06037302004,0,0,6.5,78.5,15,0,0,368400,6,37,302004
"Census Tract 3024.01, Los Angeles County, California",1400000US06037302401,7.3,0,0,78.8,14,0,0,422800,6,37,302401
"Census Tract 3025.03, Los Angeles County, California",1400000US06037302503,0,0,2.7,13.3,84,0,0,601200,6,37,302503
"Census Tract 3025.04, Los Angeles County, California",1400000US06037302504,10.1,0,0,89.9,0,0,0,372500,6,37,302504
"Census Tract 3025.05, Los Angeles County, California",1400000US06037302505,19,0,0,47.6,33.3,0,0,465000,6,37,302505
"Census Tract 3025.06, Los Angeles County, California",1400000US06037302506,0,0,0,39.3,34.4,16.5,9.8,577800,6,37,302506
"Census Tract 3102.01, Los Angeles County, California",1400000US06037310201,0,0,0,22.6,35.6,26.3,15.4,692300,6,37,310201
"Census Tract 3102.02, Los Angeles County, California",1400000US06037310202,0,0,2.1,21,33.7,27.7,15.6,700000,6,37,310202
"Census Tract 3105.01, Los Angeles County, California",1400000US06037310501,4.4,0,5.5,23,67.2,0,0,564000,6,37,310501
"Census Tract 3106.01, Los Angeles County, California",1400000US06037310601,3.9,0,9.8,35.5,46.4,4.4,0,504100,6,37,310601
"Census Tract 3106.02, Los Angeles County, California",1400000US06037310602,0,0,2.7,37.4,22.4,23.5,13.9,609800,6,37,310602
"Census Tract 3118.01, Los Angeles County, California",1400000US06037311801,5.7,0,0,44.7,34.6,15.1,0,499200,6,37,311801
"Census Tract 3118.02, Los Angeles County, California",1400000US06037311802,5,0,37.6,13.9,36.6,0,6.9,418800,6,37,311802
"Census Tract 3202.01, Los Angeles County, California",1400000US06037320201,2,5,8.4,84.7,0,0,0,366700,6,37,320201
"Census Tract 8004.06, Los Angeles County, California",1400000US06037800406,1,0,1.2,0,4.8,10.3,82.6,2000001,6,37,800406
"Census Tract 8004.08, Los Angeles County, California",1400000US06037800408,2.4,0,2,1.6,18.5,6.1,69.4,1701100,6,37,800408
"Census Tract 8004.10, Los Angeles County, California",1400000US06037800410,1.5,0,1.2,12,6.1,3.5,75.8,1599600,6,37,800410
"Census Tract 8005.04, Los Angeles County, California",1400000US06037800504,1.9,0,0,3.1,5.1,9.2,80.7,2000001,6,37,800504
"Census Tract 8005.06, Los Angeles County, California",1400000US06037800506,4.2,0,2.2,1.7,2.3,5,84.5,1858000,6,37,800506
"Census Tract 9001.03, Los Angeles County, California",1400000US06037900103,4.7,28.7,64.7,1.9,0,0,0,116800,6,37,900103
"Census Tract 9001.04, Los Angeles County, California",1400000US06037900104,0,20.2,70.3,2.7,3.4,0,3.4,148500,6,37,900104
"Census Tract 9002.01, Los Angeles County, California",1400000US06037900201,4.1,14.4,75.8,3.6,0,2.1,0,193500,6,37,900201
"Census Tract 9005.05, Los Angeles County, California",1400000US06037900505,3.6,1.8,87.7,6.3,0,0,0.6,159700,6,37,900505
"Census Tract 9005.06, Los Angeles County, California",1400000US06037900506,1.4,2.9,90,0.8,2,2,0.8,206100,6,37,900506
"Census Tract 9005.07, Los Angeles County, California",1400000US06037900507,7.8,3.8,88.4,0,0,0,0,180800,6,37,900507
"Census Tract 9005.08, Los Angeles County, California",1400000US06037900508,2.3,1,73.1,22.8,0,0,0.8,229100,6,37,900508
"Census Tract 9006.08, Los Angeles County, California",1400000US06037900608,0,1.6,86.9,9.9,0,1.6,0,185700,6,37,900608
"Census Tract 9006.09, Los Angeles County, California",1400000US06037900609,4.3,9,80.7,4.1,1.8,0,0,163500,6,37,900609
"Census Tract 9010.08, Los Angeles County, California",1400000US06037901008,3.8,13.2,76.7,6.2,0,0,0,187800,6,37,901008
"Census Tract 118.03, Shasta County, California",1400000US06089011803,0,6.6,52.7,21.2,12.4,7.1,0,232000,6,89,11803
"Census Tract 121.01, Shasta County, California",1400000US06089012101,2.8,1.5,88.7,1.7,5.3,0,0,186000,6,89,12101
"Census Tract 121.02, Shasta County, California",1400000US06089012102,2.9,4.8,44.7,31.3,16.3,0,0,293600,6,89,12102
"Census Tract 126.03, Shasta County, California",1400000US06089012603,2.2,10.2,57.9,25.2,2.2,0,2.3,219300,6,89,12603
"Census Tract 126.04, Shasta County, California",1400000US06089012604,0.6,4.6,39,35.7,13.2,5.4,1.5,323500,6,89,12604
"Census Tract 2501.03, Solano County, California",1400000US06095250103,1.7,0,40.3,46.7,9.1,0.7,1.5,336900,6,95,250103
"Census Tract 211.22, Placer County, California",1400000US06061021122,1.4,0,8,29.1,39.6,18.6,3.2,572200,6,61,21122
"Census Tract 211.23, Placer County, California",1400000US06061021123,3.3,0,6.5,43.4,42.6,1.9,2.3,485200,6,61,21123
"Census Tract 211.28, Placer County, California",1400000US06061021128,1.4,5.9,47.4,43,0,0,2.3,286100,6,61,21128
"Census Tract 211.29, Placer County, California",1400000US06061021129,0,0,56.8,41,2.2,0,0,287700,6,61,21129
"Census Tract 211.30, Placer County, California",1400000US06061021130,0,0,3.6,87.4,9,0,0,447400,6,61,21130
"Census Tract 211.31, Placer County, California",1400000US06061021131,0.7,0,7,81.3,10.3,0,0.7,378400,6,61,21131
"Census Tract 212.03, Placer County, California",1400000US06061021203,4.9,0,22.2,51.7,12.6,8.6,0,376300,6,61,21203
"Census Tract 212.04, Placer County, California",1400000US06061021204,1,1.2,5.4,38.5,27,23.7,3.3,536600,6,61,21204
"Census Tract 213.09, Placer County, California",1400000US06061021309,1.5,0,8.7,42.4,44,2.8,0.6,490400,6,61,21309
"Census Tract 213.22, Placer County, California",1400000US06061021322,0.6,0,7.6,72.2,19.1,0.5,0,425100,6,61,21322
"Census Tract 214.03, Placer County, California",1400000US06061021403,0,0,75.5,22.3,2.2,0,0,229500,6,61,21403
"Census Tract 216.03, Placer County, California",1400000US06061021603,2.5,8.9,16.5,29.6,35.8,5.2,1.5,437800,6,61,21603
"Census Tract 216.04, Placer County, California",1400000US06061021604,0,0,13.3,37.5,21.1,15.9,12.3,496800,6,61,21604
"Census Tract 220.11, Placer County, California",1400000US06061022011,0,0,6.2,9.7,27.6,17.9,38.6,841300,6,61,22011
"Census Tract 220.13, Placer County, California",1400000US06061022013,1.9,1.5,37.3,45.5,9.7,0.7,3.4,341000,6,61,22013
"Census Tract 220.14, Placer County, California",1400000US06061022014,0,0,2.5,12.3,15.2,38.7,31.4,879700,6,61,22014
"Census Tract 221, Placer County, California",1400000US06061022100,0,0,6.4,26.2,40.1,2.1,25.1,608300,6,61,22100
"Census Tract 222, Placer County, California",1400000US06061022200,0,0,0,24,47.3,25.1,3.6,637700,6,61,22200
"Census Tract 223, Placer County, California",1400000US06061022300,0,0,15.1,10.1,35.3,0,39.5,675600,6,61,22300
"Census Tract 224, Placer County, California",1400000US06061022400,2.3,0.9,4.6,20.3,48.9,16.4,6.5,611300,6,61,22400
"Census Tract 225, Placer County, California",1400000US06061022500,0,0,4.2,22,50,19.5,4.3,618900,6,61,22500
"Census Tract 226, Placer County, California",1400000US06061022600,0,0,32,48.8,19.2,0,0,367600,6,61,22600
"Census Tract 228, Placer County, California",1400000US06061022800,0,0,13.4,53.1,30.6,1.6,1.3,448900,6,61,22800
"Census Tract 229, Placer County, California",1400000US06061022900,1,0,0.8,78.8,18.5,0,0.8,426900,6,61,22900
"Census Tract 230, Placer County, California",1400000US06061023000,2.9,0,12,65.8,19.3,0,0,421200,6,61,23000
