White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
19.6,0,1,50,0,28.4,1.1,1400000US06037482401,3765,52.4,7,6.6,6.1,5,4.8,15.8,12.5,15.6,5.4,6.6,7.8,4.6,2.2,38.8,"Census Tract 4824.01, Los Angeles County, California",6,37,482401
18.7,0,1.7,59.7,0,17.7,2.2,1400000US06037482600,6835,50.2,2.5,4.1,7.3,4.7,3.4,13.9,11.5,11.6,10.4,11.3,7.4,8.7,3.3,46.7,"Census Tract 4826, Los Angeles County, California",6,37,482600
89.3,1.5,0.6,0.9,0.2,4.4,3,1400000US06011000200,5128,52.4,9.2,9.6,7.9,5.7,5.5,12,11.7,8.4,9.6,4.8,9.9,4.8,0.8,35.1,"Census Tract 2, Colusa County, California",6,11,200
92.4,3.3,0.9,0.5,0,1.1,1.8,1400000US06011000400,2205,53.8,5.8,5,4.6,3.3,5.4,10.1,10.2,19,8.6,6.4,9.3,9.4,2.9,48.4,"Census Tract 4, Colusa County, California",6,11,400
84.5,2.2,0,2,0.5,6.8,4,1400000US06011000500,2564,51,5.5,8.1,6.2,5.3,13.1,11.8,14,13.1,5.3,5.5,6.2,3.9,1.8,34.7,"Census Tract 5, Colusa County, California",6,11,500
89.4,1.3,2.5,0,0,4.5,2.3,1400000US06021010502,1550,54.7,3.2,4.5,8.8,5,8.6,12.5,11.2,8.9,11,7.9,13.6,3.9,1,42.1,"Census Tract 105.02, Glenn County, California",6,21,10502
84.5,0,1.9,1.8,0,10.7,1.1,1400000US06021010100,8460,50.9,9.8,5.2,10.8,7.4,7.5,15.8,12.1,8.9,4.6,5.9,7.9,2.5,1.7,29.9,"Census Tract 101, Glenn County, California",6,21,10100
88.1,0.1,1.7,0.5,1,7.3,1.2,1400000US06021010200,4787,47.1,5.8,5.2,8,8.1,6.8,6.9,11.2,15.1,7,7.1,10,6.7,2.1,44,"Census Tract 102, Glenn County, California",6,21,10200
75.6,2,1.9,8.1,0,8.6,3.8,1400000US06021010400,7327,49.4,6.9,6.7,6.8,7.9,3.8,10.9,13.9,16.6,3.3,6.4,8.5,6.8,1.5,39.7,"Census Tract 104, Glenn County, California",6,21,10400
81.7,2.6,12.2,0.3,0,1.5,1.7,1400000US06021010300,2089,53.3,3.2,8.3,6.9,4.8,4.1,11.3,12.4,7.5,9.9,7.7,12.7,7.8,3.5,43.9,"Census Tract 103, Glenn County, California",6,21,10300
33,6.8,0.6,18.2,2.9,36,2.6,1400000US06037552900,6833,49.2,6.4,5.1,4.3,7.4,6.8,14.3,16.8,14.6,7,5.1,8.1,3.3,0.8,38.5,"Census Tract 5529, Los Angeles County, California",6,37,552900
36.2,12.1,1.2,14.6,2.7,26.7,6.6,1400000US06037553100,6941,48.7,7.6,8.7,9.8,8.5,6.3,14.3,13.5,9.8,5.5,4.7,6.8,2.9,1.4,30.7,"Census Tract 5531, Los Angeles County, California",6,37,553100
67.6,2.1,0.1,0.2,0,27.9,2.1,1400000US06037553701,4139,49.9,5.4,8.6,11.9,7.9,9.6,16,12.4,11.6,5.4,4.3,4.8,1.5,0.4,28.7,"Census Tract 5537.01, Los Angeles County, California",6,37,553701
55,3.9,0,5.8,0,28.2,7.1,1400000US06037553901,6737,48.5,6,7.5,10.3,10.1,7.4,15.1,12.3,9.9,7.3,3,6,3,2,30.6,"Census Tract 5539.01, Los Angeles County, California",6,37,553901
18.7,14,0.5,59.6,0,4.6,2.8,1400000US06037554516,3955,47.9,4.5,3.3,4.2,5.3,7.2,10.1,12.4,13.8,7.8,7.1,16.7,5.4,2.1,47.2,"Census Tract 5545.16, Los Angeles County, California",6,37,554516
34.1,8.6,0.3,24.5,0.3,28.9,3.4,1400000US06037555104,4237,45.1,7.6,4.2,6.4,5.2,6.3,19.2,12.2,14.1,7.5,5.9,4.8,5.4,1.1,35.9,"Census Tract 5551.04, Los Angeles County, California",6,37,555104
55.5,8.5,0.3,11.1,3.7,15.6,5.3,1400000US06037570002,2935,46.2,5.4,6.3,7.6,9.6,6.5,10.8,15.2,16,5,6.4,6.4,3.2,1.5,38.1,"Census Tract 5700.02, Los Angeles County, California",6,37,570002
27.5,18.5,0.4,13.6,0,39.6,0.5,1400000US06037570204,4384,50.4,9.9,5.5,7.9,3.8,10.7,15.9,13.9,10.2,3.8,3.1,9.4,3.9,2,32.8,"Census Tract 5702.04, Los Angeles County, California",6,37,570204
46.8,26.9,0,18.5,1.1,2.8,4,1400000US06037572002,5144,49.9,6.5,3.8,2.8,4.9,7.1,11.2,13.1,14.7,6.6,6,10.6,5.4,7.2,45.8,"Census Tract 5720.02, Los Angeles County, California",6,37,572002
40,18.5,0.4,28.1,0.4,5.5,7.2,1400000US06037572201,6120,44.3,7.3,5,7.2,5.8,5.3,12.5,14.9,13.3,5.5,4.8,8.6,8,1.6,40,"Census Tract 5722.01, Los Angeles County, California",6,37,572201
57.2,7.9,0,23.5,0.2,5.3,5.9,1400000US06037573402,6653,46.5,6.9,5.4,6,4.4,9,18.6,14.2,14.3,6,5.3,7.8,1.9,0.2,34.9,"Census Tract 5734.02, Los Angeles County, California",6,37,573402
75.1,1.8,1.6,10.2,0,4.2,7.1,1400000US06037574100,5085,46.8,7.3,5.3,6.9,3.4,4.7,10.8,15.7,16.1,8.7,6.6,9.5,2.7,2.2,42.4,"Census Tract 5741, Los Angeles County, California",6,37,574100
77.7,6.9,0,9.1,0.2,1.6,4.4,1400000US06037574400,5237,47.4,6.5,5.6,6,6.4,3.1,13.1,12.2,15,6.7,7.7,12.3,2.4,3.1,41.6,"Census Tract 5744, Los Angeles County, California",6,37,574400
84.2,3.3,0,9,0,1.9,1.6,1400000US06037143602,4648,52.5,4.3,5.4,3.1,2.4,2.8,18.8,13.8,14.7,7.6,10.1,7,5.4,4.5,44.8,"Census Tract 1436.02, Los Angeles County, California",6,37,143602
70.2,11.6,0,5.1,0,8.8,4.2,1400000US06037139303,4393,51.4,7.3,4.1,3.5,2.6,8.3,19,15.8,15.8,5,7,6.9,3,1.9,37.5,"Census Tract 1393.03, Los Angeles County, California",6,37,139303
82.3,2.2,0,11.1,0,1.3,3.1,1400000US06037139600,4803,41.7,4,4.5,7.4,6.5,4.4,12,13.8,11.4,6,10.7,8.8,8.1,2.6,43,"Census Tract 1396, Los Angeles County, California",6,37,139600
84.9,1.8,0.5,7.1,0.5,2,3.2,1400000US06037139701,5336,43.5,4.7,3.9,5.9,5.3,4.9,12.9,12.5,14.7,6.4,7,10.7,6.6,4.6,45,"Census Tract 1397.01, Los Angeles County, California",6,37,139701
61.6,0,3.6,11.3,0,13.6,10,1400000US06037183101,3437,49.9,6.2,7.8,6.8,3.3,5.2,14.8,14.8,13.4,4.4,7.9,9.6,5,0.8,38.1,"Census Tract 1831.01, Los Angeles County, California",6,37,183101
54.7,0.4,0,10.4,0.1,34,0.4,1400000US06037185310,3113,47.6,7.1,6.3,8.2,5.3,7.2,20.1,14.3,11.6,4.4,4.1,6.2,4.4,0.9,32.6,"Census Tract 1853.10, Los Angeles County, California",6,37,185310
45.9,0.3,2.1,11.4,0,36.2,4.1,1400000US06037186401,3437,47.1,7.4,9.4,7.7,7.1,7.1,16.8,15.6,12.7,3.8,3.6,4.2,3.7,0.8,31.7,"Census Tract 1864.01, Los Angeles County, California",6,37,186401
79.1,1.7,0,8.4,0,5,5.8,1400000US06037189701,3200,52.6,2.8,1.6,8,2.9,6.6,16,17.2,18.5,7.1,5.1,8.6,4.3,1.4,42.6,"Census Tract 1897.01, Los Angeles County, California",6,37,189701
66.3,4.1,0.5,6.9,0,11.3,10.9,1400000US06037190700,2841,46,3.9,1.7,1.7,4.8,10.3,24.4,15.7,15.3,2.5,3.7,8.4,4.9,2.7,36.8,"Census Tract 1907, Los Angeles County, California",6,37,190700
42.2,4.9,0.8,2.4,0,44.6,5.1,1400000US06037190902,3835,57.5,3.9,5.7,6.9,4.9,7.2,23.1,14.6,13.9,4.9,5.1,7.2,2.6,0,33.7,"Census Tract 1909.02, Los Angeles County, California",6,37,190902
63.8,3.5,0,13.8,0,16.7,2.2,1400000US06037191110,3476,43.4,1.9,2,0.3,1.9,7.7,15.4,14.9,14.3,8.7,13.4,12.2,5.1,2.2,50.3,"Census Tract 1911.10, Los Angeles County, California",6,37,191110
37.2,0.5,0.2,23.3,0.3,36.8,1.8,1400000US06037191500,5776,46.9,4.6,4.2,5.2,5.5,8.2,20.3,12.1,15,6.4,5.8,7.5,3.8,1.3,36,"Census Tract 1915, Los Angeles County, California",6,37,191500
53.3,5.6,0.5,21.7,1.3,9.9,7.7,1400000US06037192410,3757,45.6,3,2.2,5.2,6,5.7,23.6,14,17.8,4.9,5.2,5.1,5.6,1.7,37.8,"Census Tract 1924.10, Los Angeles County, California",6,37,192410
30.9,6.7,0,31.5,0.2,28,2.7,1400000US06037192420,4101,49.9,7.1,5.3,2,3.8,14.3,23.5,17.7,11.8,5.4,2.1,4.9,1.7,0.3,31.5,"Census Tract 1924.20, Los Angeles County, California",6,37,192420
51.1,25.1,0,0.1,0,23.2,0.6,1400000US06037540700,3281,52.3,9.9,5.6,10.9,7.7,8.9,17.3,14,10.7,4.6,4.2,3.7,1.2,1.1,27.3,"Census Tract 5407, Los Angeles County, California",6,37,540700
46.8,4.6,0,22,0,19,7.6,1400000US06037404702,5812,47.7,5.1,9.9,7.1,7.4,6.5,15.9,12.6,13.8,6.2,6.5,6.9,1.4,0.7,34,"Census Tract 4047.02, Los Angeles County, California",6,37,404702
58.6,2,1.3,12.1,0,18.7,7.4,1400000US06037403721,4869,52.5,7.2,4.1,7.2,7.2,6,14.6,13,15.6,5.2,5.5,7,5.8,1.6,38.8,"Census Tract 4037.21, Los Angeles County, California",6,37,403721
68.9,1.5,0.7,9.5,0.3,14.7,4.4,1400000US06037403901,3279,52.2,4.3,4.3,7.1,5.1,5.9,17,12.1,17.8,7.7,6.1,7.1,4,1.5,38.5,"Census Tract 4039.01, Los Angeles County, California",6,37,403901
39.4,3.3,2.4,7.8,0.3,39.9,6.8,1400000US06037404100,6849,49.6,8,5.8,5.6,7.2,10.4,17.9,11.2,13.1,7,4.9,5.3,3.3,0.4,31.4,"Census Tract 4041, Los Angeles County, California",6,37,404100
40.3,6.8,2.9,25.3,5.9,15.2,3.6,1400000US06037404802,4768,48.8,7.3,7.8,7.2,5.7,6.8,18.3,13.9,13.3,3.8,3.8,6.9,4.2,1,33.1,"Census Tract 4048.02, Los Angeles County, California",6,37,404802
43,0.8,0.8,12,0,40.1,3.4,1400000US06037405001,6116,51.8,5,5.5,8.4,6.8,7.9,15.3,13.7,14.9,5.6,5.2,9.3,1.6,0.9,36.5,"Census Tract 4050.01, Los Angeles County, California",6,37,405001
49.8,7.1,1.2,16.8,0,22.7,2.4,1400000US06037406601,5676,47.8,6,7,6.1,5.7,7.2,14.9,14.7,11.7,6.4,6.2,8.2,3.2,2.7,36.8,"Census Tract 4066.01, Los Angeles County, California",6,37,406601
75.8,1.1,0.4,12.2,0.3,3.9,6.4,1400000US06001451503,6158,45.1,7.4,6.3,7.7,4.7,4.2,12.5,17.7,12.6,9.6,4.7,7,3.6,2.1,38.2,"Census Tract 4515.03, Alameda County, California",6,1,451503
16.8,26.8,3.3,2.3,0.3,47.7,2.9,1400000US06001409300,5433,46.4,10,6.3,7.5,5.5,6.8,16.2,14.6,16.3,4.7,2.4,5.8,2.7,1.3,33.3,"Census Tract 4093, Alameda County, California",6,1,409300
19,36.1,1,2.7,0.5,35.2,5.5,1400000US06001409700,5183,48.3,7.9,8.9,10.5,10.9,6.4,14,17.5,10.9,5.4,2.3,3.5,0.8,1.1,27.8,"Census Tract 4097, Alameda County, California",6,1,409700
77.1,1.3,0.2,7.8,0.3,4.1,9.2,1400000US06001451300,7126,51.9,9.1,5.2,6.6,7.5,5.4,14.6,12.7,13.1,10,5.4,7.1,2.4,0.9,36.2,"Census Tract 4513, Alameda County, California",6,1,451300
25.5,55.9,0.3,9.8,0.4,2.7,5.5,1400000US06001402400,2787,42.8,5.5,4.4,2.2,4,4.9,30.1,15.6,11,3.2,4.6,8.4,4.7,1.5,34.7,"Census Tract 4024, Alameda County, California",6,1,402400
66.3,2.8,0,13.4,0,4.3,13.2,1400000US06001404300,3437,51,7.5,5.5,6.7,3.5,2.5,11.8,13.7,12.6,9.1,7.4,14.4,3.8,1.5,44.4,"Census Tract 4043, Alameda County, California",6,1,404300
55.6,11.9,4,14.1,0.5,2.2,11.7,1400000US06001404800,2707,52.6,6.4,4.9,6.9,5.5,3.1,15,15,13.8,7.8,5.8,9.5,4.1,2.3,41.6,"Census Tract 4048, Alameda County, California",6,1,404800
37,13.3,7.2,12,0,26,4.5,1400000US06001406202,4751,52.3,7,8.3,7,6.4,5.8,18.2,20.2,9.9,2.3,4.5,6.1,2.3,2.1,31.7,"Census Tract 4062.02, Alameda County, California",6,1,406202
38.5,21.3,1.1,23.6,0,8.9,6.6,1400000US06001406400,2466,45.5,2.8,6.5,5.7,2.5,7.5,13.3,13.9,14.6,3.8,7,12.6,6.6,3.2,42.6,"Census Tract 4064, Alameda County, California",6,1,406400
35.2,2.8,0,48.8,0,5.1,8.1,1400000US06075035400,7112,47.5,4.7,4.6,3.4,2.2,3.9,14.4,16.7,15.5,8.2,6.4,8.5,6.6,5,45.1,"Census Tract 354, San Francisco County, California",6,75,35400
36.7,8.8,7.4,41,0.3,1.1,4.7,1400000US06075015900,4563,51.1,2.2,1.8,3,2.3,10.7,25.4,12.6,10.4,5.4,4.9,12,5.3,4,38.8,"Census Tract 159, San Francisco County, California",6,75,15900
57.3,9.5,0,24.3,0,2.4,6.5,1400000US06075016000,2850,56.1,1.6,0,0.2,1,8.5,26.6,12.8,7.4,6.7,9.5,13.9,6.8,5,44.1,"Census Tract 160, San Francisco County, California",6,75,16000
51.9,7.9,0,24.9,0,2.7,12.6,1400000US06075010500,2932,51.3,6.9,0,2.3,1.5,5.7,17,17.2,12.4,3.9,6.2,11,10.7,5.3,44.9,"Census Tract 105, San Francisco County, California",6,75,10500
16.3,2.8,1.2,76.7,0,0.3,2.8,1400000US06075011300,3046,51.3,3.9,1.5,3.7,3.9,4,16.7,8.1,13,9.2,4,7.7,14.1,10.1,51.9,"Census Tract 113, San Francisco County, California",6,75,11300
62.4,5.3,0,24.9,0,3.5,3.9,1400000US06075015200,4301,46.5,4.6,3,0,1.1,4,32.1,16.1,10.6,2.3,3.6,9.3,7.5,6,38.3,"Census Tract 152, San Francisco County, California",6,75,15200
40.7,4.7,0.4,20.2,0,25.1,8.9,1400000US06075017700,1956,58.7,5.4,1.7,3,2.2,6,34.9,20.2,11.6,4.5,1.7,5.5,3.4,0,33.9,"Census Tract 177, San Francisco County, California",6,75,17700
74.1,2.8,0,13.6,0,3.9,5.7,1400000US06075022702,2287,55.1,4.5,4,2.1,1.5,5.4,28.7,20.3,13,7,5.5,4.8,2,1.3,36.5,"Census Tract 227.02, San Francisco County, California",6,75,22702
47.3,2.6,0,15.5,0,29.7,4.9,1400000US06075022801,5765,58.2,7.8,4.3,4.9,1.2,6.6,24,20.2,14.4,4.4,3.5,6.9,1.6,0,35.7,"Census Tract 228.01, San Francisco County, California",6,75,22801
9,52.9,0,11.2,6.3,7.3,13.3,1400000US06075023103,2654,39.9,11.9,14.3,8.5,7.8,6.3,15.4,10.3,11,5.6,3.8,2.3,2.8,0,25.9,"Census Tract 231.03, San Francisco County, California",6,75,23103
30,9.6,0.3,48,0,7.7,4.5,1400000US06075025900,4809,48.2,5.2,5.2,2.6,4.3,4.7,20.1,12.4,13.2,9,6.5,9,4.9,3,41.6,"Census Tract 259, San Francisco County, California",6,75,25900
22.6,1.4,0.5,41.9,0,30.7,2.9,1400000US06075026003,5011,50.1,2.7,5,4.7,6.3,6.6,15.7,14,14.3,4.7,8,7.2,6.5,4.2,41.4,"Census Tract 260.03, San Francisco County, California",6,75,26003
67.7,0.8,1.7,2.2,0,20.9,6.7,1400000US06073020207,4987,47.1,10.1,8.6,8.4,9.1,8.2,15,19.1,14.5,0.9,1.8,3,1.3,0.1,28.3,"Census Tract 202.07, San Diego County, California",6,73,20207
85,0.5,0,4.3,0,2.4,7.7,1400000US06073020706,6404,47.9,4.4,2.8,7.8,7.9,6.4,12,6.5,15.6,9.7,8.1,11.7,4.4,2.8,46.7,"Census Tract 207.06, San Diego County, California",6,73,20706
82.3,0.5,0.4,0.7,0,12.7,3.4,1400000US06073020806,5998,48,10,7.1,5.4,6.3,7.2,18.7,8.6,13.8,4.5,5.7,7.4,3.5,1.8,32.6,"Census Tract 208.06, San Diego County, California",6,73,20806
86.3,2.2,1.6,1.4,0,7,1.6,1400000US06073020902,2158,50,5.3,5.3,6.5,2.1,5.4,12.9,12.2,12.8,9.7,6.9,12.5,8.4,0,45.5,"Census Tract 209.02, San Diego County, California",6,73,20902
83.2,0.1,3.2,0.3,0,9.6,3.5,1400000US06073020904,2036,52.8,1,4,5.5,2.3,2.7,8.8,7.1,7.9,11.8,11.7,25.8,9.3,2.1,59.7,"Census Tract 209.04, San Diego County, California",6,73,20904
70.3,3,0,22.9,0.2,0.4,3.3,1400000US06073008327,5844,52.5,6.2,5.5,7,4.2,3.9,11.7,15.4,18.8,7.5,6.6,8.8,4.5,0,41,"Census Tract 83.27, San Diego County, California",6,73,8327
76.4,0.6,1.3,9.3,0,5.4,6.9,1400000US06073008502,6993,47.4,4.6,6.5,4.9,5.2,11,15,14,10.4,4.9,8.8,7.6,4.2,2.8,37.2,"Census Tract 85.02, San Diego County, California",6,73,8502
60.5,3.1,0,21.3,1.9,4.9,8.3,1400000US06073008507,7789,50.6,9.6,2.1,5.2,3.9,11.9,17.3,14.1,12.8,6,4.5,6,4.6,2.2,35,"Census Tract 85.07, San Diego County, California",6,73,8507
71.9,3.9,0,7.7,0.7,7.8,8,1400000US06067007416,4270,50,2.9,7.5,7.4,6,4.7,13.8,13.5,12.2,9.4,8.5,7.5,4.9,1.8,41.6,"Census Tract 74.16, Sacramento County, California",6,67,7416
50.1,13.5,2.8,14.7,0,7.9,11,1400000US06067007503,5270,43.8,8,9.7,8.7,4.4,8.7,15.2,13.7,12.5,5.6,6.2,3.9,2.7,0.6,31,"Census Tract 75.03, Sacramento County, California",6,67,7503
78.3,2.9,1.6,6.1,1,0.7,9.6,1400000US06067007702,4371,48.4,5.5,4.2,5.8,5.4,4,6.7,10.4,15.6,9.4,8.3,11.5,7.6,5.5,49.3,"Census Tract 77.02, Sacramento County, California",6,67,7702
82.1,1.6,0,4,0.7,5.3,6.3,1400000US06067008111,6390,47.6,4.7,5.6,5.3,8.6,7.6,8.2,15,12.6,8,8.9,10.5,3.2,1.9,43.6,"Census Tract 81.11, Sacramento County, California",6,67,8111
83.4,2.1,0,3.9,0,8.3,2.4,1400000US06067008117,2363,50.8,8.3,7.6,9,4.6,3.3,14.3,12.1,13.9,4.4,5.3,6.3,8.4,2.6,36,"Census Tract 81.17, Sacramento County, California",6,67,8117
71,5.3,1.3,4.9,0,9.6,7.9,1400000US06067008130,3825,43.6,5.2,5.5,5.7,6.8,8.5,18.5,9.5,11.8,11.8,3.7,7.2,4.1,1.8,34.9,"Census Tract 81.30, Sacramento County, California",6,67,8130
81.6,8.5,1,3.6,0,1.7,3.6,1400000US06067008133,3090,44.8,5.8,6.3,5.2,4.9,5.3,22.5,12.1,9.3,9.4,5.8,9.2,3.2,0.9,35,"Census Tract 81.33, Sacramento County, California",6,67,8133
75.4,3.8,0.3,1.8,0.7,14.5,3.6,1400000US06073018906,7178,53.7,9.7,6,6.7,7.4,9.8,10.7,16.8,9.5,4,7.4,7.3,3.6,1.1,34.6,"Census Tract 189.06, San Diego County, California",6,73,18906
87.3,1.8,0.3,1.5,0,8.3,0.7,1400000US06073019002,1752,51,5.5,3.9,5.1,4.2,6.3,9.7,12.3,20.3,6.7,6.9,13.5,4.4,1.3,46.2,"Census Tract 190.02, San Diego County, California",6,73,19002
78.7,4.4,1.9,4.7,0,8.7,1.6,1400000US06073019205,6460,50.5,6.8,7.4,8.9,5.4,7.2,13.9,15.6,14.5,3.8,4.4,6.2,4.3,1.7,35.2,"Census Tract 192.05, San Diego County, California",6,73,19205
81,0.9,0,10.7,0.2,2.5,4.7,1400000US06073020019,7149,48.6,5.8,5.1,4.3,5.2,3.8,10.9,10.5,8.3,8,6.4,15.8,10.9,5,49.5,"Census Tract 200.19, San Diego County, California",6,73,20019
59.4,5.3,5.6,8.3,0,12,9.4,1400000US06073020305,6483,51.1,10,4.6,3.1,4.9,8.5,14.1,14.5,13.2,6.4,6.3,8.3,5,1.1,36.8,"Census Tract 203.05, San Diego County, California",6,73,20305
77.8,2.4,0.4,2.8,0,6.9,9.7,1400000US06073020707,4982,48.2,6.9,9.6,7.8,5.2,5.5,23.9,11.1,14.3,4.7,4.9,3.5,2.1,0.6,30.5,"Census Tract 207.07, San Diego County, California",6,73,20707
90.5,1.7,0.9,3.7,0,1.2,2,1400000US06073020807,2595,49.6,4.2,1.7,6.9,4.6,8.2,10.8,10.3,18.3,7.2,8.2,14.3,2.7,2.6,46.7,"Census Tract 208.07, San Diego County, California",6,73,20807
78.1,1.4,4.7,1,0,10,4.8,1400000US06073021100,8374,56.2,7.1,6.4,7.9,6.2,7.4,12.6,9.4,12.2,4.7,8.8,12.1,2.4,2.9,37.6,"Census Tract 211, San Diego County, California",6,73,21100
70.4,4.2,0,17.6,0,3.9,3.9,1400000US06073021303,8861,50.4,3,7.2,8.6,7.5,5,5.7,14,14.9,9.5,8.3,8.7,5.7,1.8,44.5,"Census Tract 213.03, San Diego County, California",6,73,21303
87,0.3,0,5.1,0.4,0.5,6.7,1400000US06073008303,3571,47.2,4.1,3.1,6.1,5.3,3.1,6,6.5,12.3,8,8.4,23.4,9.4,4.3,56.8,"Census Tract 83.03, San Diego County, California",6,73,8303
85.3,0,0,4.9,0,4.4,5.5,1400000US06073008306,3205,50.9,3.5,8.5,7.6,5.6,2.4,4.1,12.9,17.7,5.2,5.3,14.1,8.3,4.7,48.5,"Census Tract 83.06, San Diego County, California",6,73,8306
78.5,4.6,0,8.9,0,4.9,3.1,1400000US06073008310,6536,47.4,9.2,5.5,4.5,7,3.5,5,11.1,11.4,9.9,5.8,15.7,8.1,3.3,49.6,"Census Tract 83.10, San Diego County, California",6,73,8310
68.8,4.9,0,20.3,0,0.7,5.4,1400000US06073008329,7220,46.3,9.3,7.3,3.6,2.9,4.8,21.2,22.3,14.1,5.3,2.4,4.2,1.9,0.7,35.8,"Census Tract 83.29, San Diego County, California",6,73,8329
49.7,6.1,0,35.9,0,4,4.4,1400000US06073008340,9799,54,5.9,3.4,0.8,2.6,19.8,36.8,13,7.5,1,1.9,5,1.1,1.1,28.7,"Census Tract 83.40, San Diego County, California",6,73,8340
41.4,1.6,0,50.6,0,1.9,4.5,1400000US06073008341,8054,51.9,3.2,1.6,1.1,4,33.1,28.7,9,4.4,2,1,1.5,3.6,6.8,27.2,"Census Tract 83.41, San Diego County, California",6,73,8341
36.2,2,0.3,54.4,0.3,2.2,4.7,1400000US06073008350,7008,51.9,8.6,3.4,5.1,5.4,6.1,24.5,10.4,11.2,5.7,8.9,7.2,2.6,0.7,34,"Census Tract 83.50, San Diego County, California",6,73,8350
34.4,8.3,0,36.3,7,6.5,7.6,1400000US06073008358,7252,51.2,3.4,3.6,4,6.2,9.3,14.9,13,13.2,7.8,7.6,10.9,4.9,1.2,42.2,"Census Tract 83.58, San Diego County, California",6,73,8358
-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,1400000US06037980028,0,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,"Census Tract 9800.28, Los Angeles County, California",6,37,980028
-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,1400000US06037990100,0,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,"Census Tract 9901, Los Angeles County, California",6,37,990100
-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,1400000US06037990300,0,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,"Census Tract 9903, Los Angeles County, California",6,37,990300
86.7,0.5,3.7,3.7,0,1.4,4,1400000US06039000106,5781,46.7,3.6,7.3,6.7,7.9,4.4,6.3,10.5,14,10.5,6,13.7,7.5,1.7,48.8,"Census Tract 1.06, Madera County, California",6,39,106
83.7,0.4,2,1.9,0,4.8,7.2,1400000US06039000109,2051,44.1,2.3,3,8.2,5.1,3.9,11,4.8,13.2,13,11.4,16.5,4.3,3.4,53.5,"Census Tract 1.09, Madera County, California",6,39,109
-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,1400000US06037990200,0,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,"Census Tract 9902, Los Angeles County, California",6,37,990200
88.9,1.5,3.2,0,0,0.6,5.8,1400000US06039000108,6711,43.7,7.8,6.7,2.5,4.3,3.5,12.4,6.3,8.1,9,9.1,16.6,10.3,3.5,53.4,"Census Tract 1.08, Madera County, California",6,39,108
46,15.6,2.4,3,0.3,25,7.8,1400000US06039000201,8460,34.7,1.9,2.3,1.5,0.9,8.4,30.8,20.7,18.4,6.7,4.5,3.3,0.7,0,36.3,"Census Tract 2.01, Madera County, California",6,39,201
62,0.3,0.2,20.1,0.5,7.7,9.2,1400000US06081608501,5002,51,8.5,6.3,6.4,3,7.3,11.7,16,15.2,7.6,6.4,6.5,2.8,2.4,40.2,"Census Tract 6085.01, San Mateo County, California",6,81,608501
66,0.7,0,23.5,0.5,2.6,6.8,1400000US06081605300,4690,49,6.6,7.2,6.7,4.7,2.6,8.5,17.4,16.5,5.5,8,9.1,5.3,1.8,42.9,"Census Tract 6053, San Mateo County, California",6,81,605300
63.2,0,0.2,30.5,0,0.8,5.4,1400000US06081605600,5909,50.3,3.9,7.7,10.1,6,4.8,3.3,8.5,17.9,7.3,6.4,13.2,7.1,3.9,47.9,"Census Tract 6056, San Mateo County, California",6,81,605600
69.2,1.2,0,23.3,0,1.3,5,1400000US06081606400,5036,49.6,6.1,4.3,3.4,4,4.5,16.1,14.9,11.8,4.7,7,8.9,9.7,4.6,42.5,"Census Tract 6064, San Mateo County, California",6,81,606400
60.4,1.3,0,34,0,0,4.3,1400000US06081606800,3430,46.6,5.7,3.4,7.2,7.4,3.2,11.3,14.7,15.1,6.1,7.8,9.8,6.9,1.4,43.2,"Census Tract 6068, San Mateo County, California",6,81,606800
68.3,1.2,0.3,25.7,0,0,4.5,1400000US06081608800,6314,50.1,5.7,8,6.3,3.9,4.2,6.1,16.6,15.5,10.8,5.4,9.9,5.3,2.3,44.3,"Census Tract 6088, San Mateo County, California",6,81,608800
61,0.5,0.3,30.1,1,1.5,5.6,1400000US06081608900,6975,49,3,7.3,6.7,6.4,3.6,14.1,15.5,14.5,7.2,5.2,10.3,4.2,2,40.9,"Census Tract 6089, San Mateo County, California",6,81,608900
69.9,1.9,0,14.1,0,0.8,13.3,1400000US06081609100,1584,47.9,6.1,7.7,7.1,6.7,5.7,12.9,14.9,14.3,8.4,7.1,3.7,3.9,1.6,39.2,"Census Tract 6091, San Mateo County, California",6,81,609100
